key	type	applies_to	transferrable	unique_to_world	unique_to_faction	precedence	start_date	end_date	avatar_skill	avatar_special_ability	legendary_item	mp_exclusive	is_wife_ancillary	category	min_starting_age	max_starting_age	min_expiry_age	max_expiry_age	immortal	provided_bodyguard_unit	provided_banner	uniqueness_score	turns_before_swap_allowed	subcategory	randomly_dropped	can_be_stolen	can_be_destroyed	faction_set
#ancillaries_tables;0;db/ancillaries_tables/ovn_halflings_only																												
hlf_staff	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	1		false	false	false	all
hlf_robe	wh_main_anc_armour	.	false	false	false	1	0	9999			false	false	false	armour	16	30	30	50	true			200	1		false	false	false	all
ovn_anc_follower_halfling_housewife	ovn_anc_follower_halfling_housewife	.	true	false	false	1	0	9999			false	false	false	general	1	1	50	75	true			1	0	follower	true	false	false	all
ovn_anc_weapon_glammyding	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_talisman_bottomless_hat_of_rabbit	wh_main_anc_talisman	.	false	false	false	1	0	9999			false	false	false	talisman	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_arcane_item_cathay_fireworks	wh_main_anc_arcane_item	.	false	false	false	1	0	9999			false	false	false	talisman	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_weapon_aragands_sword	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_enchanted_item_pig_swill	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_talisman_friendship_bracelet_legles	wh_main_anc_talisman	.	false	false	false	1	0	9999			false	false	false	talisman	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_enchanted_item_ring_of_concealment	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_talisman_friendship_bracelet_giblit	wh_main_anc_talisman	.	false	false	false	1	0	9999			false	false	false	talisman	16	30	30	50	true			200	0		false	false	false	all
ovn_anc_enchanted_item_bimbos_book	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	talisman	16	30	30	50	true			200	0		false	false	false	all
hlf_glibfoot_hyshia	wh_main_anc_weapon	.	false	false	false	1	0	9999			false	false	false	weapon	16	30	30	50	true			200	1		false	false	false	all
hlf_glibfoot_willowblade	wh_main_anc_enchanted_item	.	false	false	false	1	0	9999			false	false	false	enchanted_item	16	30	30	50	true			200	1		false	false	false	all
ovn_wolf_anc_mount_hlf_moot_general_poultry	ovn_hlf_mount_cockarel	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_hlf_moot_general_2		1	1		false	false	false	all
ovn_wolf_anc_mount_hlf_master_chef_wagon	ovn_hlf_mount_cwagon	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_hlf_master_chef_1		1	1		false	false	false	all
ovn_wolf_anc_mount_hlf_sheriff_pig	ovn_hlf_mount_bpig	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_hlf_sheriff_1		1	1		false	false	false	all
hlf_genchanter_ram_mount	wh_main_anc_mount_warhorse	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_hlf_ll_battle_ram		1	1		false	true	true	all
hlf_genchanter_swan_mount	ovn_anc_mount_mtl_swan	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_hlf_ll_swan		1	1		false	true	true	all
hlf_mgeneral_swan_mount	ovn_anc_mount_mtl_swan	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_hlf_moot_general_3		1	1		false	true	true	all
ovn_anc_mount_mtl_fieldwarden_swan	ovn_anc_mount_mtl_swan	.	false	false	false	1	0	9999			false	false	false	mount	16	30	30	50	true	ovn_hlf_fieldwarden_1		1	1		false	false	true	all
