effect	effect list	scope	value
#campaign_effect_list_effect_junctions_tables;0;db/campaign_effect_list_effect_junctions_tables/@cr_halfling_cooking			
wh_dlc07_effect_attrition_immunity_badlands	ovn_food_cereals_1	faction_to_force_own	1.0
wh_dlc08_effect_attrition_immunity_high_seas	ovn_food_cereals_2	faction_to_force_own	1.0
wh2_dlc09_effect_force_army_campaign_attrition_desert_immunity	ovn_food_cereals_3	faction_to_force_own	1.0
wh2_main_effect_force_army_campaign_attrition_immunity_athel_loren	ovn_food_cereals_4	faction_to_force_own	1.0
wh2_dlc11_effect_attrition_immunity_chaos	ovn_food_cereals_5	faction_to_force_own	1.0
wh_dlc05_effect_force_army_campaign_attrition_swamp_immunity	ovn_food_cereals_6	faction_to_force_own	1.0
wh_dlc07_effect_attrition_immunity_snow	ovn_food_cereals_7	faction_to_force_own	1.0
wh_main_effect_character_stat_physical_resistance	ovn_food_meats_1	faction_to_force_own	15.0
wh_main_effect_character_stat_missile_resistance	ovn_food_meats_2	faction_to_force_own	15.0
wh_main_effect_character_stat_unit_health	ovn_food_meats_3	faction_to_force_own	5.0
wh_main_effect_force_stat_melee_defence	ovn_food_meats_4	faction_to_force_own	5.0
wh_main_effect_force_stat_weapon_strength	ovn_food_meats_5	faction_to_force_own	10.0
wh_main_effect_force_stat_missile_damage	ovn_food_meats_6	faction_to_force_own	5.0
wh_main_effect_force_stat_melee_attack	ovn_food_meats_7	faction_to_province_own	5.0
wh_main_effect_economy_gdp_mod_all	ovn_food_spices_1	faction_to_region_own	10.0
wh_main_effect_force_all_campaign_replenishment_rate	ovn_food_spices_2	faction_to_force_own	10.0
wh_main_faction_political_diplomacy_mod	ovn_food_spices_3	faction_to_faction_own_unseen	25.0
wh_main_effect_force_stat_magic_resistance	ovn_food_spices_4	faction_to_force_own	25.0
wh_main_effect_public_order_characters	ovn_food_spices_5	faction_to_province_own	2.0
wh_dlc05_effect_building_global_recruitment_duration	ovn_food_spices_6	faction_to_faction_own_unseen	-1.0
wh_main_effect_character_stat_fire_resistance	ovn_food_spices_7	faction_to_force_own	25.0
wh_main_effect_character_line_of_sight_mod	ovn_food_vegetables_1	faction_to_character_own_unseen_lords_only	15.0
wh_main_effect_technology_research_points	ovn_food_vegetables_2	faction_to_faction_own	10.0
wh_main_effect_force_all_campaign_recruitment_cost_all	ovn_food_vegetables_3	faction_to_force_own	-15.0
wh2_main_effect_ability_cooldown_spells	ovn_food_vegetables_4	faction_to_character_own	-10.0
wh2_dlc13_effect_melee_attack_versus_vmp_cst_tmb	ovn_food_vegetables_5	faction_to_force_own	10.0
wh_main_effect_force_stat_vigour_loss_reduction	ovn_food_vegetables_6	faction_to_force_own	-15.0
wh2_main_faction_political_diplomacy_mod_high_elves	ovn_food_vegetables_7	faction_to_faction_own_unseen	25.0
wh2_main_faction_political_diplomacy_mod_dark_elves	ovn_food_vegetables_7	faction_to_faction_own_unseen	25.0
wh_dlc05_faction_political_diplomacy_mod_technology_bretonnia	ovn_food_fruits_1	faction_to_faction_own_unseen	25.0
wh_main_effect_force_all_campaign_movement_range	ovn_food_fruits_2	faction_to_force_own	10.0
wh_main_effect_force_stat_range	ovn_food_fruits_3	faction_to_force_own	15.0
wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	ovn_food_fruits_4	faction_to_force_own	10.0
wh_main_effect_force_stat_armour	ovn_food_fruits_5	faction_to_force_own	5.0
wh2_main_faction_political_diplomacy_mod_lizardmen	ovn_food_fruits_6	faction_to_faction_own_unseen	25.0
wh3_main_effect_province_growth_faction	ovn_food_fruits_7	faction_to_province_own	10.0
wh_main_effect_attribute_enable_causes_fear	ovn_food_dish_1	faction_to_force_own	1.0
wh_main_effect_force_army_campaign_ambush_attack_success_chance	ovn_food_dish_2	faction_to_force_own	20.0
wh3_main_effect_corruption_reduction_buildings	ovn_food_dish_3	faction_to_province_own	2.0
wh_main_effect_attribute_enable_strider	ovn_food_dish_4	faction_to_force_own	1.0
wh_main_effect_force_stat_ammunition_artillery	ovn_food_dish_5	faction_to_force_own	15.0
wh_main_effect_force_stat_missile_damage_artillery	ovn_food_dish_5	faction_to_force_own	15.0
wh_main_effect_agent_action_cost_mod	ovn_food_dish_6	faction_to_character_own_unseen	-25.0
wh_main_effect_force_stat_leadership	ovn_food_dish_7	faction_to_force_own	5.0
wh_main_effect_agent_action_success_chance	ovn_food_dish_8	faction_to_character_own_unseen	15.0
wh_main_effect_force_all_campaign_upkeep	ovn_food_dish_9	faction_to_province_own	-5.0
wh2_dlc10_effect_unit_enable_attribute_rampage	ovn_food_dish_10	faction_to_force_own	1.0
wh_main_effect_force_stat_speed	ovn_food_special_dish_1	faction_to_force_own	10.0
wh_main_effect_force_all_campaign_experience_base_all	ovn_food_special_dish_2	faction_to_force_own	4.0
wh_main_effect_character_stat_enable_magic_attacks	ovn_food_special_dish_3	faction_to_force_own	1.0
wh_main_effect_attribute_enable_stalk	ovn_food_special_dish_4	faction_to_force_own	1.0
wh_main_effect_character_stat_charge_bonus_add	ovn_food_special_dish_5	faction_to_force_own	15.0
