unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/ovn_hlf_buildings	
ovn_mtl_veh_reaper	wh3_main_ogr
halfling_housewives	wh3_main_ogr
wh2_dlc10_hef_mon_treeman_0	wh3_main_ogr
wh2_dlc10_hef_mon_treekin_0	wh3_main_ogr
halfling_inf	wh3_main_ogr
halfling_warfoot	wh3_main_ogr
halfling_cook	wh3_main_ogr
wh2_main_hef_mon_great_eagle	wh3_main_ogr
wh2_dlc10_hef_inf_dryads_0	wh3_main_ogr
halfling_cock	wh3_main_ogr
halfling_spear	wh3_main_ogr
halfling_archer	wh3_main_ogr
sr_ogre	wh3_main_ogr
halfling_cook_ror	wh3_main_ogr
sr_ogre_ror	wh3_main_ogr
ovn_hlf_ll	wh3_main_ogr
halfling_cat	wh3_main_ogr
halfling_cat_ror	wh3_main_ogr
wh2_dlc13_emp_art_great_cannon_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_art_helblaster_volley_gun_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_art_helstorm_rocket_battery_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_cav_demigryph_knights_0_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_cav_demigryph_knights_1_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_cav_empire_knights_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_cav_outriders_1_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_cav_pistoliers_1_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_cav_reiksguard_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_inf_greatswords_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_inf_halberdiers_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_inf_handgunners_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_veh_luminark_of_hysh_0_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_veh_steam_tank_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_veh_war_wagon_0_imperial_supply	wh3_main_ogr
wh2_dlc13_emp_veh_war_wagon_1_imperial_supply	wh3_main_ogr
wh_dlc05_wef_inf_dryads_0	wh3_main_ogr
halfling_thief	wh3_main_ogr
elo_supply_wagon	wh3_main_ogr
half_pig	wh3_main_ogr
halfling_milittia_arch	wh3_main_ogr
halfling_milittia_great	wh3_main_ogr
halfling_warden_great	wh3_main_ogr
hlf_baby_dragon	wh3_main_ogr
hlf_roast_pig	wh3_main_ogr
halfling_militia	wh3_main_ogr
ovn_hlf_moot_general_0	wh3_main_ogr
ovn_hlf_fieldwarden_0	wh3_main_ogr
ovn_hlf_master_chef_0	wh3_main_ogr
ovn_mtl_cav_poultry_riders_0	wh3_main_ogr
wh_main_mtl_veh_soupcart	wh3_main_ogr
ovn_mtl_art_hotpot	wh3_main_ogr
ovn_mtl_art_hotpot_ror	wh3_main_ogr
ovn_mtl_cav_swine_riders_0	wh3_main_ogr
ovn_mtl_cav_battleram_riders_0	wh3_main_ogr
ovn_hlf_sheep_dogs	wh3_main_ogr
hlf_gatherers	wh3_main_ogr
ovn_hlf_ll_battle_ram	wh3_main_ogr
ovn_hlf_ll_swan	wh3_main_ogr
ovn_hlf_moot_general_3	wh3_main_ogr
ovn_mtl_cav_swan_riders_0	wh3_main_ogr
halfling_knights_kitchentable_ror	wh3_main_ogr
halfling_pantry_guards_ror	wh3_main_ogr
halfling_lords_of_harvest_ror	wh3_main_ogr
ovn_hlf_bee_throwers	wh3_main_ogr
cr_mtl_cha_matron_moot_0	wh3_main_ogr
