id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/ovn_hlf_outpost			
92114214	500	halfling_militia	halfling_militia
92114215	500	halfling_archer	halfling_archer
92114216	500	ovn_hlf_sheep_dogs	ovn_hlf_sheep_dogs
92114217	750	half_pig	half_pig
92114218	750	halfling_inf	halfling_inf
92114219	750	ovn_hlf_bee_throwers	ovn_hlf_bee_throwers
92114220	1000	halfling_cook	halfling_cook
92114221	1000	ovn_mtl_veh_reaper	ovn_mtl_veh_reaper
92114222	1000	ovn_mtl_cav_poultry_riders_0	ovn_mtl_cav_poultry_riders_0
