key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/ovn_halflings_only	
wm_reaper01	reaper01
hu3_dwarf_axe_shield_and_bow	humanoid03
hu1_empire_drunkard_sword	humanoid01
hu1_empire_fireworks_staff_and_sword	humanoid01
hu3_glibfoot_sword_and_crossbow	humanoid03
hu3_halfling_2handed_weapon	humanoid03
hu3_halfling_weapon_and_shield	humanoid03
hu3_halfling_weapon_and_shield_lord	humanoid03
hu3_halfling_bo1_axe_and_shield	humanoid03
hu3_halfling_bo1_twohand	humanoid03
hu3_bo1_twohand	humanoid03
bo1_bel_warboar	boar01
hu3_halfling_hu3_piggyback_2handed_axe	humanoid03
hu3_halfling_piggyback	humanoid03
hu3_halfling_caster	humanoid03
hu3_halfling_bi1_swan_sword_shield	humanoid03
hu3_halfling_rp3_axe_and_shield	humanoid03
bi1_swan	bird01
hu3_halfling_bi1_swan_sword_bow	humanoid03
wagon01_soupcart	wagon01
hu3_hlf_masterchef_dualweapons	humanoid03
hu13_hlf_ogr_ror_2hammer	humanoid13
hu3_hlf_matron_weapon_and_staff	humanoid03
hu3_hlf_sword_shield_and_sling	humanoid03
