id	art_set_id	level	age	portrait	season	uniform	card	info	sea_uniform	navy_uniform	land_animation	sea_animation	navy_animation	land_animation_vfx_filter	sea_animation_vfx_filter	navy_animation_vfx_filter
#campaign_character_arts_tables;0;db/campaign_character_arts_tables/ovn_halflings_only																
137587985	ovn_art_set_com_olorin_the_grey_wizard	0	0		none	ovn_uniform_olorin_the_grey_wizard			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_staff_and_sword	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
137587986	ovn_art_set_com_aragand_the_layabout	0	0		none	ovn_uniform_aragand_the_layabout			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu1_empire_sword_and_shield	cam_light_ship_01	cam_heavy_ship_01	0	0	0
137587987	ovn_art_set_com_legles_the_elf	0	0		none	ovn_uniform_legles_the_elf			wh_dlc05_campaign_wef_ship_agent	wh_dlc05_campaign_wef_ship_agent	cam_hu1d_elf_sword_and_bow	cam_transport_ship_03	cam_transport_ship_03	0	0	0
137587988	ovn_art_set_com_giblit_the_dwarf	0	0		none	ovn_uniform_giblit_the_dwarf			wh_main_campaign_dwf_ship_light	wh_main_campaign_dwf_ship_heavy	cam_hu3_dwarf_2handed_axe_ungrim	cam_light_ship_03	cam_heavy_ship_03	0	0	0
290598904	ovn_hlf_ll	0	0		none	ovn_hlf_ll			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
278687905	ovn_hlf_glibfoot	0	0		none	ovn_hlf_glibfoot			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_shield_and_crossbow	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
299597905	ovn_hlf_moot_general	0	0		none	ovn_hlf_moot_general			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
299597906	ovn_hlf_moot_general_1	0	0		none	ovn_hlf_moot_general_1			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
299598915	ovn_hlf_fieldwarden_01	0	0		none	ovn_hlf_fieldwarden			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_shield_and_crossbow	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
299598916	ovn_hlf_fieldwarden_02	0	0		none	ovn_hlf_fieldwarden_1			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_shield_and_crossbow	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
299598925	ovn_hlf_master_chef_01	0	0		none	ovn_hlf_master_chef			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
299598926	ovn_hlf_master_chef_02	0	0		none	ovn_hlf_master_chef_1			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
299597936	ovn_hlf_sheriff_01	0	0		none	ovn_hlf_sheriff_0			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_2handed_axe_ungrim	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
295845936	ovn_hlf_sheriff_02	0	0		none	ovn_hlf_sheriff_1			wh_main_campaign_emp_ship_heavy	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_2handed_axe_ungrim	cam_heavy_ship_01	cam_heavy_ship_01	0	0	0
43521111	cr_art_set_mtl_matron_01	0	0		none	cr_mtl_matron_uniform_01			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_light_ship_01	cam_heavy_ship_01	0	0	0
43521112	cr_art_set_mtl_matron_02	0	0		none	cr_mtl_matron_uniform_02			wh_main_campaign_emp_ship_light	wh_main_campaign_emp_ship_heavy	cam_hu3_dwarf_axe_and_shield	cam_light_ship_01	cam_heavy_ship_01	0	0	0
