key	chance_to_replenish	max_count	unit_record	use_partial_replenishment	max_replenish_per_turn
#mercenary_unit_groups_tables;2;db/mercenary_unit_groups_tables/ovn_halflings_only					
halfling_warfoot	100.0	1	halfling_warfoot	true	0.1
sr_ogre_ror	100.0	1	sr_ogre_ror	true	0.1
halfling_cock	100.0	1	halfling_cock	true	0.1
wh_main_mtl_veh_soupcart	100.0	1	wh_main_mtl_veh_soupcart	true	0.1
halfling_cat_ror	100.0	1	halfling_cat_ror	true	0.1
halfling_pantry_guards_ror	100.0	1	halfling_pantry_guards_ror	true	0.1
halfling_lords_of_harvest_ror	100.0	1	halfling_lords_of_harvest_ror	true	0.1
halfling_knights_kitchentable_ror	100.0	1	halfling_knights_kitchentable_ror	true	0.1
halfling_cook_ror	100.0	1	halfling_cook_ror	true	0.1
ovn_mtl_art_hotpot_ror	100.0	1	ovn_mtl_art_hotpot_ror	true	0.1
