phase	stat	value	how
#special_ability_phase_stat_effects_tables;3;db/special_ability_phase_stat_effects_tables/ovn_halflings_only			
hlf_gatherers_yank	stat_melee_defence	-24.0000	add
ovn_unit_passive_running_with_the_herd	scalar_speed	1.1000	mult
ovn_unit_passive_running_with_the_herd	stat_morale	10.0000	add
ovn_feast	stat_morale	10.0000	add
ovn_thief	stat_melee_damage_ap	4.0000	add
ovn_thief	stat_melee_defence	8.0000	add
ovn_fight_eat	stat_melee_attack	5.0000	add
ovn_fight_eat	stat_melee_defence	5.0000	add
ovn_dont_abandon	stat_morale	25.0000	add
elo_superfood	stat_resistance_physical	10.0000	add
elo_superfood	stat_melee_damage_ap	1.1500	mult
elo_superfood	stat_melee_damage_base	1.1500	mult
ovn_character_abilities_hair_of_the_dog	stat_melee_defence	-24.0000	add
ovn_character_abilities_hair_of_the_dog	stat_melee_attack	-24.0000	add
ovn_character_passive_self_preservation	scalar_speed	1.2500	mult
ovn_character_passive_self_preservation	stat_melee_defence	25.0000	add
wh_main_unit_contact_souped	stat_melee_attack	-5.0000	add
wh_main_unit_contact_souped	stat_armour	-10.0000	add
ammo_supply	stat_reloading	1.1000	mult
equipment_maintanance	stat_armour	15.0000	add
equipment_maintanance	stat_melee_damage_base	1.1000	mult
smokeleaf_smokescreen	stat_resistance_physical	1.1500	mult
smokeleaf_smokescreen	stat_resistance_missile	1.2500	mult
ovn_hlf_glibfoot_adv_continues	stat_morale	8.0000	add
ovn_hlf_glibfoot_adv_continues	scalar_speed	1.1200	mult
hlf_glibfoot_willowblade_ability	stat_armour	-30.0000	add
hlf_glibfoot_willowblade_ability	stat_melee_defence	-40.0000	add
hlf_glibfoot_thief_tactics	scalar_speed	1.2400	mult
hlf_master_chef_regeneration_passive_aura	stat_resistance_all	5.0000	add
hlf_master_chef_hot_spices	stat_morale	-5.0000	add
hlf_master_chef_hot_spices	stat_resistance_all	0.9000	mult
ovn_hlf_ammo	stat_reloading	1.1000	mult
ovn_hlf_bee_throwers_contact	stat_morale	-6.0000	add
ovn_hlf_bee_throwers_contact	stat_melee_attack	-5.0000	add
ovn_hlf_bee_throwers_contact	stat_melee_defence	-5.0000	add
wh_main_unit_contact_teefin	stat_armour	0.8500	mult
wh_main_unit_contact_teefin	stat_melee_damage_ap	0.8500	mult
wh_main_unit_contact_teefin	stat_melee_damage_base	0.8500	mult
cr_lore_passive_whiff_of_home_and_hearth	stat_morale	5.0000	add
cr_spell_moot_esmeraldas_last_course	stat_melee_defence	-5.0000	add
cr_spell_moot_esmeraldas_last_course_upgraded	stat_melee_defence	-10.0000	add
cr_spell_moot_haffenlyver	stat_melee_attack	10.0000	add
cr_spell_moot_haffenlyver	stat_resistance_all	25.0000	add
cr_spell_moot_haffenlyver_upgraded	stat_melee_attack	20.0000	add
cr_spell_moot_haffenlyver_upgraded	stat_resistance_all	50.0000	add
