key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost
#agent_subtypes_tables;1;db/agent_subtypes_tables/ovn_halflings_only																					
ovn_com_olorin_the_grey_wizard	false	true	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	ovn_com_cha_olorin_the_grey_wizard_0	wh_dlc05_vo_actor_Empire_GreyWizard	true	-1	false	true	true	true	legendary_lords			true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_com_aragand_the_layabout	false	false	ui/campaign ui/agents/wh_main_emp_champion.png	ovn_com_cha_aragand_the_layabout_0	wh_main_vo_actor_Empire_Captain	false	-1	false	true	false	false				true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_com_legles_the_elf	false	false	ui/campaign ui/agents/wh2_dlc16_wef_dignitary.png	ovn_com_cha_legles_the_elf_0	wh_dlc05_vo_actor_Wood_Elves_Male_Glade_Lord	false	-1	false	true	false	false				true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_com_giblit_the_dwarf	false	false	ui/campaign ui/agents/wh_main_dwf_champion.png	ovn_com_cha_giblit_the_dwarf_0	wh_main_vo_actor_Dwarf_UngrimIronfist	false	-1	false	true	false	false				true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_hlf_ll	true	false		ovn_hlf_ll	wh_main_vo_actor_Empire_General	true	-1	false	true	true	true	halfling_lord			true	true	cannot_be_loaded_in_campaign		false	true	0
ovn_hlf_glibfoot	false	false		ovn_hlf_glibfoot	wh_main_vo_actor_Empire_General	true	-1	false	true	true	true	legendary_lords			true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_hlf_moot_general	true	false		ovn_hlf_moot_general_0	wh_main_vo_actor_Empire_General	true	-1	false	true	true	true	hlf_moot_general			true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_hlf_fieldwarden	true	false	ui/campaign ui/agents/wh_dlc05_lore_life.png	ovn_hlf_fieldwarden_0	wh_main_vo_actor_Empire_WitchHunter	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_hlf_master_chef	true	false	ui/campaign ui/agents/hlf_master_chef.png	ovn_hlf_master_chef_0	wh_main_vo_actor_Empire_WarriorPriest	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
ovn_hlf_sheriff	true	false	ui/campaign ui/agents/wh_main_brt_champion.png	ovn_hlf_sheriff_0	wh_main_vo_actor_Empire_Captain	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	750
cr_mtl_matron	true	true	ui/campaign ui/agents/cr_lore_moot.png	cr_mtl_cha_matron_moot_0	wh_dlc07_vo_actor_Bretonnian_Prophetess	true	-1	true	true	true	true				true	true	cannot_be_loaded_in_campaign		false	true	750
