member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/ovn_halflings		
ovn_sc_halflings_occupation_decision_loot	ACTOR	ovn_sc_halflings
ovn_sc_halflings_occupation_decision_occupy	ACTOR	ovn_sc_halflings
ovn_sc_halflings_occupation_decision_raze_without_occupy	ACTOR	ovn_sc_halflings
ovn_sc_halflings_occupation_decision_resettle	ACTOR	ovn_sc_halflings
ovn_sc_halflings_occupation_decision_sack	ACTOR	ovn_sc_halflings
ovn_sc_halflings_occupation_decision_vassal	ACTOR	ovn_sc_halflings
ovn_sc_halflings_occupation_decision_colonise	ACTOR	ovn_sc_halflings
ovn_sc_halflings_occupation_decision_do_nothing	ACTOR	ovn_sc_halflings
ovn_halfling_cooking	ACTOR	ovn_sc_halflings
ovn_halfling_cooking_ingredient_unlocked	ACTOR	ovn_sc_halflings
ovn_hlf_how_they_play_event	ACTOR	ovn_sc_halflings
ovn_occupation_decision_buildrestaurant	ACTOR	ovn_sc_halflings
ovn_halflings	ACTOR	ovn_sc_halflings
