invalid_target	special_ability
#special_ability_to_invalid_target_flags_tables;0;db/special_ability_to_invalid_target_flags_tables/ovn_halflings_only	
climbing	ovn_unit_abilities_crazed_cooks
flying_currently	ovn_unit_abilities_crazed_cooks
on_a_platform	ovn_unit_abilities_crazed_cooks
climbing	ovn_unit_abilities_crazed_cooks_upgraded
flying_currently	ovn_unit_abilities_crazed_cooks_upgraded
on_a_platform	ovn_unit_abilities_crazed_cooks_upgraded
unit_is_moulder_monster	ovn_unit_passive_running_with_the_herd
unit_is_not_commander_class	ovn_character_passive_unlikely_friendship
morale_is_broken_or_lower	ovn_fight_eat
morale_is_broken_or_lower	ovn_take_bite
morale_is_higher_than_broken	ovn_dont_abandon
engaged_in_melee	ammo_supply
hp_replenish_cap_reached	hlf_master_chef_earth_blood
hp_replenish_cap_reached	hlf_master_chef_earth_blood_upgraded
on_a_platform	ovn_hlf_mislead
flying_currently	hlf_gatherers_yank
on_a_platform	cr_spell_moot_40_goulashes
on_a_platform	cr_spell_moot_40_goulashes_upgraded
on_a_platform	cr_spell_moot_phineas_wrath
on_a_platform	cr_spell_moot_phineas_wrath_upgraded
on_a_platform	cr_spell_moot_josiass_bodily_cleanse
on_a_platform	cr_spell_moot_josiass_bodily_cleanse_upgraded
on_a_platform	cr_spell_moot_barnyard_stampede
on_a_platform	cr_spell_moot_barnyard_stampede_upgraded
on_a_platform	cr_spell_moot_esmeraldas_last_course
on_a_platform	cr_spell_moot_esmeraldas_last_course_upgraded
on_a_platform	cr_spell_moot_haffenlyver
on_a_platform	cr_spell_moot_haffenlyver_upgraded
