key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person
#land_units_tables;50;db/land_units_tables/ovn_halflings_only																																																						
halfling_knights_kitchentable_ror	10	wh2_main_chainmail_40	2100	inf_melee	6	inf_mel	unit_long_text_halfling_knights_kitchentable_ror	hu3_dwarf_axe_and_shield	wh_main_dwf_inf_dwarfs_blood_dismembers	26	54	80	64		0	wh_main_emp_spear		8	wh_missile_block_30_wood	halfling_knights_kitchentable_ror	wh_main_dwf_infantry_standard_shield	trained			true	40.0	1500.0	halfling_knights_kitchentable_ror_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	0.8	small	0	0	0	15	0	0	0	0	melee	false	true	false	false	low	low	domination_infantry		
halfling_pantry_guards_ror	10	wh2_main_chainmail_40	2100	inf_melee	10	inf_mel	unit_long_text_halfling_pantry_guards_ror	hu3_dwarf_2handed_axe_ungrim	wh_main_dwf_inf_dwarfs_rangers_blood_dismembers	35	51	100	92		0	wh_main_emp_halberd		4	none	halfling_pantry_guards_ror	wh_main_dwf_infantry_standard	trained			true	40.0	1500.0	halfling_pantry_guards_ror_attributes	60	80	0	vo_sel_slayers	vo_sel_generic	vo_sel_generic_short	0.9	small	0	0	0	15	0	0	0	0	melee_highvalue	false	true	false	false	low	low	domination_infantry		
halfling_lords_of_harvest_ror	10	wh2_main_chainmail_35	2100	cavalry	20	cav_shk	unit_long_text_halfling_lords_of_harvest_ror	hu3_halfling_hu3_piggyback_2handed_axe	wh_main_infantry_rider_blood	50	21	75	225	hlf_gatherer_piggyback	35	halfling_meat_tenderizer		3	none	halfling_lords_of_harvest_ror	wh_main_dwf_infantry_slayers	trained			true	40.0	1500.0	halfling_lords_of_harvest_ror_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	15	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav		
ovn_mtl_cav_battleram_riders_0	10	wh2_main_chainmail_50	2100	cavalry	40	cav_mel	unit_long_text_ovn_mtl_cav_battleram_riders_0	hu3_halfling_bo1_twohand	wh_main_cavalry_rider_standard_blood	32	29	65	100	ovn_mtl_mnt_battleram	60	halfling_meat_tenderizer		5	none	ovn_unit_short_text_mtl_cav_battleram_riders	wh_main_cavalry_ordered	trained			true	40.0	1500.0	ovn_mtl_cav_battleram_riders_0_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0	large	0	0	0	15	0	0	0	0	melee_flanker	false	false	false	false	medium	medium	domination_cav		
ovn_hlf_ll_battle_ram	10	wh2_main_leather_30	2100	cavalry	55	com	unit_long_text_ovn_hlf_ll_battle_ram	hu3_halfling_bo1_axe_and_shield	wh2_main_cavalry_rider_standard_hero	42	30	70	3950	ovn_mtl_mnt_battleram	1	wh_main_emp_sword_caster		1	none	ovn_hlf_ll	wh_main_hero	trained			true	40.0	1500.0	ovn_hlf_ll_battle_ram_attributes	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_generic_short	1.0	large	0	0	0	20	0	0	15	0	melee_mage_highvalue	false	false	false	false	high	high	domination_characters		
halfling_housewives	10	wh2_main_body_5	2100	inf_melee	20	inf_mel	unit_long_text_halfling_housewives	hu3_dwarf_dual_axe_slayer	wh_main_dwf_inf_dwarfs_rangers_blood_dismembers	32	20	62	72		0	albion_swordmaiden_sword		5	none	halfling_housewives	wh_main_vmp_crypt_ghouls	trained			false	40.0	1500.0	halfling_housewives_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic	0.9	small	0	0	0	15	0	0	0	0	melee	false	true	false	false	low	low	domination_infantry		
halfling_milittia_great	10	wh2_main_leather_25	2100	inf_melee	14	inf_mel	unit_long_text_halfling_milittia_great	hu3_dwarf_2handed_axe	wh_main_dwf_inf_dwarfs_blood_dismembers	22	30	50	64		0	halfling_great_weapons_militia		8	none	halfling_milittia_great	wh_main_dwf_infantry_standard	trained			true	40.0	1500.0	halfling_milittia_great_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	small	0	0	0	15	0	0	0	0	melee	false	true	false	false	low	low	domination_infantry		
halfling_warden_great	10	wh2_main_chainmail_40	2100	inf_melee	18	inf_mel	unit_long_text_halfling_warden_great	hu3_dwarf_2handed_axe	wh_main_dwf_inf_dwarfs_blood_dismembers	26	34	60	70		0	halfling_meat_tenderizer		8	none	halfling_warden_great	wh_main_dwf_infantry_standard	trained			true	40.0	1500.0	halfling_warden_great_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	1.0	small	0	0	0	15	0	0	0	0	melee	false	true	false	false	low	low	domination_infantry		
halfling_inf	10	wh2_main_chainmail_40	2100	inf_melee	12	inf_mel	unit_long_text_halfling_inf	hu3_dwarf_axe_and_shield	wh_main_dwf_inf_dwarfs_blood_dismembers	22	40	60	64		0	wh_main_emp_sword		8	wh_missile_block_30_wood	halfling_inf	wh_main_dwf_infantry_standard_shield	trained			true	40.0	1500.0	halfling_inf_attributes	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_generic_short	0.8	small	0	0	0	15	0	0	0	0	melee	false	true	false	false	low	low	domination_infantry		
