key	texture_filename_base	category
#warscape_animated_tables;2;db/warscape_animated_tables/ovn_halflings_only		
mtl_reaper	warmachines\tex	animation
mtl_reaper_destruct	warmachines\tex	animation
mtl_chuckwagon	warmachines\tex	animation
mtl_chuckwagon_destruct	warmachines\tex	animation
mtl_soupcart	warmachines\tex	animation
mtl_halftank	warmachines\tex	animation
mtl_hotpot	warmachines\tex	animation
mtl_hotpot_destruct	warmachines\tex	animation
mtl_hotpot_ror	warmachines\tex	animation
mtl_hotpot_ror_destruct	warmachines\tex	animation
