ability	effect
#unit_abilities_to_additional_ui_effects_juncs_tables;0;db/unit_abilities_to_additional_ui_effects_juncs_tables/ovn_halflings_only	
ovn_unit_abilities_crazed_cooks	wh_main_all_armour_piercing
ovn_unit_abilities_crazed_cooks	wh_main_all_small_aoe
ovn_unit_abilities_crazed_cooks	wh_main_all_strong_against_units
ovn_unit_abilities_crazed_cooks	wh_main_all_weak_against_single
ovn_unit_abilities_crazed_cooks	wh_main_vortex_unpredictable
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_armour_piercing
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_small_aoe
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_strong_against_units
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_all_weak_against_single
ovn_unit_abilities_crazed_cooks_upgraded	wh_main_vortex_unpredictable
ovn_baby_dragon_breath	wh2_main_all_flaming
ovn_baby_dragon_breath	wh_main_all_strong_against_unit
ovn_baby_dragon_breath	wh_main_all_weak_against_single
ovn_baby_dragon_breath	wh_main_projectile_powerful_explosion
ovn_take_bite	wh_main_all_replenish
ovn_take_bite	wh_dlc06_automatic
ovn_dont_abandon	wh_dlc06_automatic
ammo_supply	wh2_dlc11_all_replenish_ammo
hlf_glibfoot_hyshia_charged_shot	wh2_main_all_good_against_armour
hlf_glibfoot_hyshia_charged_shot	wh2_main_all_magical_and_flaming_major
hlf_glibfoot_hyshia_charged_shot	wh_main_all_good_vs_large
hlf_glibfoot_hyshia_charged_shot	wh_main_all_strong_against_single
hlf_glibfoot_hyshia_charged_shot	wh_main_projectile_good_high_angle
hlf_master_chef_regeneration_passive_aura	wh_main_all_replenish
hlf_master_chef_earth_blood_upgraded	wh_main_spell_upgraded_duration
hlf_master_chef_flush_soup	wh2_main_all_weak_against_armour
hlf_master_chef_flush_soup	wh_main_all_poor_vs_large
ovn_character_abilities_the_recovery_of_the_king	wh2_dlc14_abilities_tzarkan
ovn_character_abilities_the_recovery_of_the_king	ovn_character_abilities_the_recovery_of_the_king_damage
ovn_character_abilities_the_recovery_of_the_king	wh2_dlc14_health_tzarkan
ovn_character_abilities_the_recovery_of_the_king	ovn_character_abilities_the_recovery_of_the_king_transform
ovn_character_abilities_hair_of_the_dog	ovn_heal_passive_24
ovn_hlf_ammo	wh2_dlc11_all_replenish_ammo
ovn_hlf_mislead	ovn_hlf_mislead_gain_attributes
ovn_hlf_mislead	ovn_hlf_mislead_creates_mirror
ovn_hlf_mislead	wh2_dlc10_all_summon_no_damage
cr_spell_moot_40_goulashes	wh2_main_all_good_against_armour
cr_spell_moot_40_goulashes	wh2_main_all_magical_damage_major
cr_spell_moot_40_goulashes	wh2_main_spell_stationary_aoe
cr_spell_moot_40_goulashes	wh_main_all_can_disrupt_formation
cr_spell_moot_40_goulashes	wh_main_all_strong_against_units
cr_spell_moot_40_goulashes_upgraded	wh2_main_all_good_against_armour
cr_spell_moot_40_goulashes_upgraded	wh2_main_all_magical_damage_major
cr_spell_moot_40_goulashes_upgraded	wh2_main_spell_stationary_aoe
cr_spell_moot_40_goulashes_upgraded	wh_main_all_can_disrupt_formation
cr_spell_moot_40_goulashes_upgraded	wh_main_all_strong_against_units
cr_spell_moot_40_goulashes_upgraded	wh_main_spell_upgraded_duration
cr_spell_moot_phineas_wrath	wh2_main_all_magical_damage_moderate
