key	sort_order	effect_state
#unit_abilities_additional_ui_effects_tables;3;db/unit_abilities_additional_ui_effects_tables/ovn_halflings_only		
ovn_all_summon_genie	103	positive
ovn_all_summon_sea_nymph	103	positive
ovn_all_summon_desert_spirit	103	positive
ovn_all_summon_fire_efreet	103	positive
ovn_all_summon_tempest_djinn	103	positive
ovn_all_summon_arb_spearmen	103	positive
ovn_spell_upgraded_added_resistance_magic	1	positive
ovn_all_summon_arb_nomad_assassin_mirror	106	positive
elo_summon_fenbeasts	1	positive
elo_amulet_old_ones	1	positive
elo_hengus_blessing	1	positive
larenscheld_ghost_on_death	1	positive
larenscheld_bombardment	1	positive
larenscheld_ghost_on_death_upgraded	1	positive
larenscheld_change_at_will	1	positive
dead_rise_liche	1	positive
raise_legion	1	positive
raise_legion_greatswords	1	positive
troll_fodder_ui	200	positive
ovn_arb_baz_heal	109	positive
abilities_rage_of_khorne	1	positive
blooth_thirsters_breath	1	positive
fim_skattach_summon_bloodletters	1	positive
ribspreader_summon_allies_ui_effect	103	positive
ovn_character_abilities_the_recovery_of_the_king_transform	103	positive
ovn_character_abilities_the_recovery_of_the_king_damage	104	positive
ovn_heal_passive_24	109	positive
deals_damage_to_friendly	105	positive
unit_kills_itself	103	positive
ovn_spawn_fanatics	105	positive
elo_summon_sea_trolls	101	positive
ovn_hlf_mislead_gain_attributes	1	positive
ovn_hlf_mislead_creates_mirror	1	positive
cr_lore_passive_whiff_of_home_and_hearth	-1	-1
cr_spell_moot_40_goulashes	-1	30
cr_spell_moot_40_goulashes_upgraded	-1	30
cr_spell_moot_phineas_wrath	-1	6
cr_spell_moot_phineas_wrath_upgraded	-1	6
cr_spell_moot_josiass_bodily_cleanse	-1	9
cr_spell_moot_josiass_bodily_cleanse_upgraded	-1	9
cr_spell_moot_barnyard_stampede	-1	8
cr_spell_moot_barnyard_stampede_upgraded	-1	8
cr_spell_moot_esmeraldas_last_course	-1	20
cr_spell_moot_esmeraldas_last_course_upgraded	-1	20
cr_spell_moot_haffenlyver	-1	60
cr_spell_moot_haffenlyver_upgraded	-1	60
cr_spell_tasty_pies	20	positive
