member	context	faction
#campaign_group_member_criteria_factions_tables;1;db/campaign_group_member_criteria_factions_tables/ovn_hlf_climate		
ovn_hlf_moot_climate_chaotic	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_desert	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_frozen	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_island	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_jungle	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_magicforest	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_mountain	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_ocean	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_savannah	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_temperate	ACTOR	ovn_hlf_the_moot
ovn_hlf_moot_climate_wasteland	ACTOR	ovn_hlf_the_moot
ovn_hlf_comradeship_climate_chaotic	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_desert	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_frozen	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_island	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_jungle	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_magicforest	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_mountain	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_ocean	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_savannah	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_temperate	ACTOR	ovn_hlf_the_comradeship
ovn_hlf_comradeship_climate_wasteland	ACTOR	ovn_hlf_the_comradeship
