faction_key	campaign_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/ovn_halflings						
		1	ovn_skill_com_lord_unique_olorin_leader_of_halflings		x	7
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_0		x	11
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_1		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_2		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_3		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_4		x	0
		1	ovn_skill_com_lord_unique_olorin_the_grey_wizard_5		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_0		x	5
		1	ovn_skill_com_hero_unique_aragand_the_layabout_1		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_2		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_3		x	0
		1	ovn_skill_com_hero_unique_aragand_the_layabout_4		x	0
		1	ovn_skill_com_hero_dance_legles_the_elf_0		x	5
		1	ovn_skill_com_hero_dance_legles_the_elf_1		x	5
		1	ovn_skill_com_hero_unique_legles_the_elf_0		x	0
		1	ovn_skill_com_hero_unique_legles_the_elf_1		x	0
		1	ovn_skill_com_hero_unique_legles_the_elf_2		x	0
		1	ovn_skill_com_hero_unique_legles_the_elf_3		x	0
		1	ovn_skill_com_hero_dance_legles_the_elf_2		x	0
		1	ovn_skill_com_hero_dance_legles_the_elf_3		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_0		x	5
		1	ovn_skill_com_hero_giblit_the_dwarf_1		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_2		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_3		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_4		x	0
		1	ovn_skill_com_hero_giblit_the_dwarf_5		x	0
		1	hlf_staff		x	13
		1	hlf_robe		x	9
		1	cig_Buff			11
		1	meat_Buff			11
		1	haffenlyver			16
ovn_hlf_the_moot		1	wh_dlc05_skill_magic_shadow_mystifying_miasma			5
		1	hlf_fieldwarden_halfling_hero		x	11
		1	hlf_fieldwarden_border_patrol		x	11
		1	hlf_moot_general_skill_0_0_mount_poultry		x	8
		1	hlf_master_chef_skill_0_0_mount_wagon		x	9
		1	hlf_sheriff_skill_0_0_mount_pig		x	8
		1	wh2_main_skill_hlf_glibfoot_unique_0		x	11
		1	wh2_main_skill_hlf_glibfoot_unique_2		x	11
		1	wh2_main_skill_anc_hyshia		x	11
		1	wh2_main_skill_anc_willowblade		x	12
		1	hlf_ll_battleram_mount		x	6
		1	ovn_skill_mtl_ll_mount_swan		x	15
		1	ovn_skill_mtl_mgeneral_mount_swan		x	15
		1	ovn_skill_mtl_fieldwarden_mount_swan		x	15
