attribute	attribute_group
#unit_attributes_to_groups_junctions_tables;2;db/unit_attributes_to_groups_junctions_tables/ovn_halflings_only	
hide_forest	halfling_knights_kitchentable_ror_attributes
immune_to_psychology	halfling_knights_kitchentable_ror_attributes
charge_reflection	halfling_knights_kitchentable_ror_attributes
ignore_trees	halfling_knights_kitchentable_ror_attributes
hide_forest	halfling_pantry_guards_ror_attributes
unbreakable	halfling_pantry_guards_ror_attributes
charge_reflection	halfling_pantry_guards_ror_attributes
ignore_trees	halfling_pantry_guards_ror_attributes
hide_forest	halfling_lords_of_harvest_ror_attributes
encourages	halfling_lords_of_harvest_ror_attributes
hide_forest	ovn_mtl_cav_battleram_riders_0_attributes
moulder_monster	ovn_mtl_cav_battleram_riders_0_attributes
encourages	ovn_hlf_ll_battle_ram_attributes
hide_forest	ovn_hlf_ll_battle_ram_attributes
hide_forest	halfling_housewives_attributes
ignore_trees	halfling_housewives_attributes
hide_forest	halfling_milittia_great_attributes
expendable	halfling_milittia_great_attributes
ignore_trees	halfling_milittia_great_attributes
hide_forest	halfling_warden_great_attributes
ignore_trees	halfling_warden_great_attributes
hide_forest	halfling_inf_attributes
ignore_trees	halfling_inf_attributes
hide_forest	halfling_warfoot_attributes
guerrilla_deploy	halfling_warfoot_attributes
stalk	halfling_warfoot_attributes
immune_to_psychology	halfling_warfoot_attributes
ignore_trees	halfling_warfoot_attributes
hide_forest	halfling_spear_attributes
expendable	halfling_spear_attributes
charge_defense_vs_large	halfling_spear_attributes
ignore_trees	halfling_spear_attributes
hide_forest	halfling_cook_attributes
ignore_trees	halfling_cook_attributes
hide_forest	halfling_thief_attributes
expendable	halfling_thief_attributes
guerrilla_deploy	halfling_thief_attributes
stalk	halfling_thief_attributes
ignore_trees	halfling_thief_attributes
hide_forest	halfling_cook_ror_attributes
unbreakable	halfling_cook_ror_attributes
ignore_trees	halfling_cook_ror_attributes
hide_forest	halfling_militia_attributes
expendable	halfling_militia_attributes
ignore_trees	halfling_militia_attributes
encourages	ovn_hlf_ll_attributes
hide_forest	ovn_hlf_ll_attributes
ignore_trees	ovn_hlf_ll_attributes
encourages	ovn_hlf_moot_general_0_attributes
hide_forest	ovn_hlf_moot_general_0_attributes
ignore_trees	ovn_hlf_moot_general_0_attributes
encourages	ovn_hlf_master_chef_0_attributes
hide_forest	ovn_hlf_master_chef_0_attributes
ignore_trees	ovn_hlf_master_chef_0_attributes
encourages	ovn_hlf_sheriff_0_attributes
hide_forest	ovn_hlf_sheriff_0_attributes
ignore_trees	ovn_hlf_sheriff_0_attributes
encourages	ovn_hlf_mislead_summoned_attributes
hide_forest	ovn_hlf_mislead_summoned_attributes
guerrilla_deploy	ovn_hlf_mislead_summoned_attributes
stalk	ovn_hlf_mislead_summoned_attributes
ignore_trees	ovn_hlf_mislead_summoned_attributes
hide_forest	ovn_hlf_bee_throwers_attributes
expendable	ovn_hlf_bee_throwers_attributes
ignore_trees	ovn_hlf_bee_throwers_attributes
hide_forest	halfling_milittia_arch_attributes
expendable	halfling_milittia_arch_attributes
ignore_trees	halfling_milittia_arch_attributes
hide_forest	halfling_archer_attributes
guerrilla_deploy	halfling_archer_attributes
stalk	halfling_archer_attributes
ignore_trees	halfling_archer_attributes
hide_forest	halfling_cock_attributes
guerrilla_deploy	halfling_cock_attributes
stalk	halfling_cock_attributes
immune_to_psychology	halfling_cock_attributes
ignore_trees	halfling_cock_attributes
encourages	ovn_hlf_fieldwarden_0_attributes
hide_forest	ovn_hlf_fieldwarden_0_attributes
guerrilla_deploy	ovn_hlf_fieldwarden_0_attributes
stalk	ovn_hlf_fieldwarden_0_attributes
ignore_trees	ovn_hlf_fieldwarden_0_attributes
encourages	ovn_hlf_glibfoot_attributes
hide_forest	ovn_hlf_glibfoot_attributes
guerrilla_deploy	ovn_hlf_glibfoot_attributes
ignore_trees	ovn_hlf_glibfoot_attributes
guerrilla_deploy	ovn_mtl_cav_swan_riders_0_attributes
mounted_fire_move	ovn_mtl_cav_swan_riders_0_attributes
moulder_monster	ovn_mtl_cav_swan_riders_0_attributes
flying	ovn_mtl_cav_swan_riders_0_attributes
hide_forest	ovn_mtl_veh_reaper_attributes
causes_fear	ovn_mtl_veh_reaper_attributes
ignore_trees	ovn_mtl_veh_reaper_attributes
hide_forest	half_pig_attributes
moulder_monster	half_pig_attributes
causes_fear	hlf_baby_dragon_attributes
causes_terror	hlf_baby_dragon_attributes
flying	hlf_baby_dragon_attributes
encourages	hlf_roast_pig_attributes
encourages	elo_supply_wagon_attributes
causes_fear	sr_ogre_attributes
ogre_charge	sr_ogre_attributes
causes_fear	sr_ogre_ror_attributes
immune_to_psychology	sr_ogre_ror_attributes
ogre_charge	sr_ogre_ror_attributes
hide_forest	halfling_cat_attributes
cant_run	halfling_cat_attributes
hide_forest	halfling_cat_ror_attributes
cant_run	halfling_cat_ror_attributes
causes_fear	wh_main_mtl_veh_soupcart_attributes
unbreakable	wh_main_mtl_veh_soupcart_attributes
hide_forest	ovn_mtl_art_hotpot_attributes
cant_run	ovn_mtl_art_hotpot_attributes
hide_forest	ovn_mtl_art_hotpot_ror_attributes
cant_run	ovn_mtl_art_hotpot_ror_attributes
hide_forest	ovn_mtl_cav_swine_riders_0_attributes
moulder_monster	ovn_mtl_cav_swine_riders_0_attributes
encourages	ovn_hlf_moot_general_2_attributes
hide_forest	ovn_hlf_moot_general_2_attributes
encourages	ovn_hlf_master_chef_1_attributes
encourages	ovn_hlf_sheriff_1_attributes
hide_forest	ovn_hlf_sheriff_1_attributes
encourages	ovn_com_cha_olorin_the_grey_wizard_0_attributes
hide_forest	ovn_com_cha_olorin_the_grey_wizard_0_attributes
encourages	ovn_com_cha_aragand_the_layabout_0_attributes
hide_forest	ovn_com_cha_aragand_the_layabout_0_attributes
encourages	ovn_com_cha_aragand_the_layabout_1_attributes
hide_forest	ovn_com_cha_aragand_the_layabout_1_attributes
unbreakable	ovn_com_cha_aragand_the_layabout_1_attributes
encourages	ovn_com_cha_legles_the_elf_0_attributes
hide_forest	ovn_com_cha_legles_the_elf_0_attributes
mounted_fire_move	ovn_com_cha_legles_the_elf_0_attributes
ignore_trees	ovn_com_cha_legles_the_elf_0_attributes
encourages	ovn_com_cha_giblit_the_dwarf_0_attributes
hide_forest	ovn_com_cha_giblit_the_dwarf_0_attributes
hide_forest	ovn_mtl_cav_poultry_riders_0_attributes
