vortex_key	change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexes	composite_scene_blood	affects_allies	launch_source_offset	composite_scene_group	delay_between_vortexes	is_spell	shape	start_height	goal_height
#battle_vortexs_tables;17;db/battle_vortexs_tables/ovn_halflings_only																														
ovn_unit_abilities_crazed_cooks	30		0	18	12.0000	25.0000	4.0000	false	1.5000	7.0000	4.0000	0.0000	false	composite_scene/spells_and_abilities/crazedcook.csc	30.0000	target_near_edge	2.expire		0.0000	0.0000	4	composite_scene/spells_and_abilities/crazedcook_blood.csc	true	18.0000		1.0000	false	circle	0.0000	0.0000
reckless_taste	0	wh_main_unit_contact_souped	20	15	20.0000	1.0000	7.0000	false	0.0000	0.0000	7.0000	1.0000	false	composite_scene\spells_and_abilities\empty.csc	1.0000	target_centre	1.ignore	wh_main_soup_projectile_splash	0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000
hlf_master_chef_flush_soup	0	wh_main_unit_contact_souped	12	0	1.0000	15.0000	15.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\empty.csc	100.0000	target_centre	1.ignore	wh_main_soup_projectile_splash	0.0000	1.5000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000
cr_spell_moot_40_goulashes	120		0	7	30.0000	-15.0000	15.0000	true	1.0000	0.0000	15.0000	0.0000	true		200.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000
cr_spell_moot_40_goulashes_upgraded	120		0	14	30.0000	-15.0000	15.0000	true	1.0000	0.0000	15.0000	0.0000	true		200.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000
cr_spell_moot_phineas_wrath	0		11	0	2.0000	6.0000	12.0000	false	0.0000	24.0000	0.1000	0.0000	true	composite_scene/spells_and_abilities/cr_spell_moot_phineas_wrath.csc	200.0000	target_near_edge	1.ignore		0.0000	1.5000	1		false	24.0000		1.0000	false	circle	0.0000	0.0000
cr_spell_moot_phineas_wrath_upgraded	0		11	4	2.0000	6.0000	12.0000	false	0.0000	24.0000	0.1000	0.0000	true	composite_scene/spells_and_abilities/cr_spell_moot_phineas_wrath.csc	200.0000	target_near_edge	1.ignore		0.0000	1.5000	1		false	24.0000		1.0000	false	circle	0.0000	0.0000
cr_spell_moot_barnyard_stampede	0		54	27	5.0000	30.0000	4.0000	false	0.0000	12.0000	4.0000	0.0000	true	composite_scene/spells_and_abilities/cr_spell_moot_barnyard_stampede.csc	30.0000	target_near_edge	1.ignore		0.0000	1.5000	1		true	12.0000		1.0000	true	circle	0.0000	0.0000
cr_spell_moot_barnyard_stampede_upgraded	0		54	27	5.0000	30.0000	4.0000	false	0.0000	12.0000	4.0000	0.0000	true	composite_scene/spells_and_abilities/cr_spell_moot_barnyard_stampede.csc	30.0000	target_near_edge	1.ignore		0.0000	1.5000	1		true	12.0000		1.0000	true	circle	0.0000	0.0000
