effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/ovn_halflings_only		
cr_effect_ability_enable_whiff_of_home_and_hearth	enable	cr_lore_passive_whiff_of_home_and_hearth
cr_effect_magic_moot_cooldown_40_goulashes	recharge_mod	cr_spell_moot_40_goulashes
cr_effect_magic_moot_cooldown_barnyard_stampede	recharge_mod	cr_spell_moot_barnyard_stampede
cr_effect_magic_moot_cooldown_esmeraldas_last_course	recharge_mod	cr_spell_moot_esmeraldas_last_course
cr_effect_magic_moot_cooldown_haffenlyver	recharge_mod	cr_spell_moot_haffenlyver
cr_effect_magic_moot_cooldown_josiass_bodily_cleanse	recharge_mod	cr_spell_moot_josiass_bodily_cleanse
cr_effect_magic_moot_cooldown_phineas_wrath	recharge_mod	cr_spell_moot_phineas_wrath
cr_effect_magic_moot_enable_40_goulashes	enable	cr_spell_moot_40_goulashes
cr_effect_magic_moot_enable_40_goulashes_upgraded	enable_overchage	cr_spell_moot_40_goulashes_upgraded
cr_effect_magic_moot_enable_barnyard_stampede	enable	cr_spell_moot_barnyard_stampede
cr_effect_magic_moot_enable_barnyard_stampede_upgraded	enable_overchage	cr_spell_moot_barnyard_stampede_upgraded
cr_effect_magic_moot_enable_esmeraldas_last_course	enable	cr_spell_moot_esmeraldas_last_course
cr_effect_magic_moot_enable_esmeraldas_last_course_upgraded	enable_overchage	cr_spell_moot_esmeraldas_last_course_upgraded
cr_effect_magic_moot_enable_haffenlyver	enable	cr_spell_moot_haffenlyver
cr_effect_magic_moot_enable_haffenlyver_upgraded	enable_overchage	cr_spell_moot_haffenlyver_upgraded
cr_effect_magic_moot_enable_josiass_bodily_cleanse	enable	cr_spell_moot_josiass_bodily_cleanse
cr_effect_magic_moot_enable_josiass_bodily_cleanse_upgraded	enable_overchage	cr_spell_moot_josiass_bodily_cleanse_upgraded
cr_effect_magic_moot_enable_phineas_wrath	enable	cr_spell_moot_phineas_wrath
cr_effect_magic_moot_enable_phineas_wrath_upgraded	enable_overchage	cr_spell_moot_phineas_wrath_upgraded
cr_effect_magic_moot_miscast_reduction_40_goulashes_upgraded	miscast_percentage_mod	cr_spell_moot_40_goulashes_upgraded
cr_effect_magic_moot_miscast_reduction_barnyard_stampede_upgraded	miscast_percentage_mod	cr_spell_moot_barnyard_stampede_upgraded
cr_effect_magic_moot_miscast_reduction_esmeraldas_last_course_upgraded	miscast_percentage_mod	cr_spell_moot_esmeraldas_last_course_upgraded
cr_effect_magic_moot_miscast_reduction_haffenlyver_upgraded	miscast_percentage_mod	cr_spell_moot_haffenlyver_upgraded
cr_effect_magic_moot_miscast_reduction_josiass_bodily_cleanse_upgraded	miscast_percentage_mod	cr_spell_moot_josiass_bodily_cleanse_upgraded
cr_effect_magic_moot_miscast_reduction_phineas_wrath_upgraded	miscast_percentage_mod	cr_spell_moot_phineas_wrath_upgraded
cr_effect_magic_moot_reduce_wom_cost_40_goulashes	cost_mod	cr_spell_moot_40_goulashes
cr_effect_magic_moot_reduce_wom_cost_40_goulashes_upgraded	cost_mod	cr_spell_moot_40_goulashes_upgraded
cr_effect_magic_moot_reduce_wom_cost_barnyard_stampede	cost_mod	cr_spell_moot_barnyard_stampede
cr_effect_magic_moot_reduce_wom_cost_barnyard_stampede_upgraded	cost_mod	cr_spell_moot_barnyard_stampede_upgraded
cr_effect_magic_moot_reduce_wom_cost_esmeraldas_last_course	cost_mod	cr_spell_moot_esmeraldas_last_course
cr_effect_magic_moot_reduce_wom_cost_esmeraldas_last_course_upgraded	cost_mod	cr_spell_moot_esmeraldas_last_course_upgraded
cr_effect_magic_moot_reduce_wom_cost_haffenlyver	cost_mod	cr_spell_moot_haffenlyver
cr_effect_magic_moot_reduce_wom_cost_haffenlyver_upgraded	cost_mod	cr_spell_moot_haffenlyver_upgraded
cr_effect_magic_moot_reduce_wom_cost_josiass_bodily_cleanse	cost_mod	cr_spell_moot_josiass_bodily_cleanse
cr_effect_magic_moot_reduce_wom_cost_josiass_bodily_cleanse_upgraded	cost_mod	cr_spell_moot_josiass_bodily_cleanse_upgraded
cr_effect_magic_moot_reduce_wom_cost_phineas_wrath	cost_mod	cr_spell_moot_phineas_wrath
cr_effect_magic_moot_reduce_wom_cost_phineas_wrath_upgraded	cost_mod	cr_spell_moot_phineas_wrath_upgraded
