deactivate_flag	special_ability
#special_ability_to_auto_deactivate_flags_tables;0;db/special_ability_to_auto_deactivate_flags_tables/ovn_halflings_only	
morale_is_broken_or_lower	ovn_character_passive_unlikely_friendship
morale_is_higher_than_broken	ovn_character_passive_self_preservation
winning_melee_combat	ovn_thief
morale_is_broken_or_lower	ovn_feast
morale_is_broken_or_lower	ammo_supply
morale_is_broken_or_lower	equipment_maintanance
morale_is_broken_or_lower	hlf_glibfoot_adv_continues
engaged_in_melee	hlf_master_chef_regeneration_passive_aura
morale_is_broken_or_lower	hlf_master_chef_regeneration_passive_aura
