member	climate
#campaign_group_member_criteria_climates_tables;0;db/campaign_group_member_criteria_climates_tables/ovn_hlf_climate	
ovn_hlf_moot_climate_chaotic	climate_chaotic
ovn_hlf_moot_climate_desert	climate_desert
ovn_hlf_moot_climate_frozen	climate_frozen
ovn_hlf_moot_climate_island	climate_island
ovn_hlf_moot_climate_jungle	climate_jungle
ovn_hlf_moot_climate_magicforest	climate_magicforest
ovn_hlf_moot_climate_mountain	climate_mountain
ovn_hlf_moot_climate_ocean	climate_ocean
ovn_hlf_moot_climate_savannah	climate_savannah
ovn_hlf_moot_climate_temperate	climate_temperate
ovn_hlf_moot_climate_wasteland	climate_wasteland
ovn_hlf_comradeship_climate_chaotic	climate_chaotic
ovn_hlf_comradeship_climate_desert	climate_desert
ovn_hlf_comradeship_climate_frozen	climate_frozen
ovn_hlf_comradeship_climate_island	climate_island
ovn_hlf_comradeship_climate_jungle	climate_jungle
ovn_hlf_comradeship_climate_magicforest	climate_magicforest
ovn_hlf_comradeship_climate_mountain	climate_mountain
ovn_hlf_comradeship_climate_ocean	climate_ocean
ovn_hlf_comradeship_climate_savannah	climate_savannah
ovn_hlf_comradeship_climate_temperate	climate_temperate
ovn_hlf_comradeship_climate_wasteland	climate_wasteland
