key	faction_effects	faction_leader_effects	group	icon	vo_trigger
#cooking_ingredients_tables;2;db/cooking_ingredients_tables/@cr_halfling_cooking					
ovn_spelt	ovn_food_cereals_1		ovn_cereals	ui/skins/default/halfling_ingredients_spelt.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_rye	ovn_food_cereals_2		ovn_cereals	ui/skins/default/halfling_ingredients_rye.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_teff	ovn_food_cereals_3		ovn_cereals	ui/skins/default/halfling_ingredients_teff.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_emmer	ovn_food_cereals_4		ovn_cereals	ui/skins/default/halfling_ingredients_emmer.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_rice	ovn_food_cereals_5		ovn_cereals	ui/skins/default/halfling_ingredients_rice.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_maize	ovn_food_cereals_6		ovn_cereals	ui/skins/default/halfling_ingredients_maize.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_barley	ovn_food_cereals_7		ovn_cereals	ui/skins/default/halfling_ingredients_barley.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_beef	ovn_food_meats_1		ovn_meats	ui/skins/default/grom_ingredients_lion_leg.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_salmon	ovn_food_meats_2		ovn_meats	ui/skins/default/grom_ingredients_gold_fish.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_lamb	ovn_food_meats_3		ovn_meats	ui/skins/default/grom_ingredients_troll.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_calamari	ovn_food_meats_4		ovn_meats	ui/skins/default/grom_ingredients_tentacles.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_pork	ovn_food_meats_5		ovn_meats	ui/skins/default/grom_ingredients_boar.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_iguana	ovn_food_meats_6		ovn_meats	ui/skins/default/grom_ingredients_dragon.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_turkey	ovn_food_meats_7		ovn_meats	ui/skins/default/grom_ingredients_phoenix_claws.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_fennel	ovn_food_spices_1		ovn_spices	ui/skins/default/halfling_ingredients_fennel.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_juniper	ovn_food_spices_2		ovn_spices	ui/skins/default/halfling_ingredients_juniper.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_cumin	ovn_food_spices_3		ovn_spices	ui/skins/default/halfling_ingredients_cumin.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_marjoram	ovn_food_spices_4		ovn_spices	ui/skins/default/halfling_ingredients_marjoram.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_cardamom	ovn_food_spices_5		ovn_spices	ui/skins/default/halfling_ingredients_cardamom.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_vanilla	ovn_food_spices_6		ovn_spices	ui/skins/default/halfling_ingredients_vanilla.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_pepper	ovn_food_spices_7		ovn_spices	ui/skins/default/halfling_ingredients_pepper.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_lettuce	ovn_food_vegetables_1		ovn_vegetables	ui/skins/default/halfling_ingredients_lettuce.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_kale	ovn_food_vegetables_2		ovn_vegetables	ui/skins/default/halfling_ingredients_kale.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
ovn_lentil	ovn_food_vegetables_3		ovn_vegetables	ui/skins/default/halfling_ingredients_lentil.png	Play_GOB_Grom_Gromscauldron_Ingredient_vox
