chain	set	super_chain	remove
#building_chain_set_items_tables;0;db/building_chain_set_items_tables/ovn_grudgebringers			
wh_main_emp_cha_grudge_main	wh3_main_primary_core_generic_horde		false
wh_main_emp_cha_grudge_recruit	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_recruit_race_other	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_wizard	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_worship	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_growth	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_paymaster	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_blacksmith	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_income	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_replen	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_replen_camp	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_storehouse	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_gunpowder	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_paymaster_camp	wh3_main_secondary_core_generic_horde		false
wh_main_emp_cha_grudge_storehouse_camp	wh3_main_secondary_core_generic_horde		false
