key	unit_ability	unit_set
#unit_set_unit_ability_junctions_tables;0;db/unit_set_unit_ability_junctions_tables/ovn_fimir_only		
enable_wh_dlc08_unit_passive_from_the_mist_FIM	wh_dlc08_unit_passive_from_the_mist	all_units
fimir_untamed_monsters_frenzy	wh_main_unit_passive_frenzy	fimir_untamed_monsters
fimir_skattach_initiative_effect_portal	wh_main_unit_passive_frenzy	fimir_untamed_monsters
fim_skattach_fimm_guardian	wh2_dlc09_unit_passive_guardian	fim_skattach_fianna
ovn_fim_swamp_daemons_regeneration	wh2_dlc17_unit_passive_horrible_regeneration	fim_swamp_daemons_unit_set
wh2_dlc15_hef_dungeon_mistwalker_upgrade_fimir	wh_dlc08_unit_passive_from_the_mist	wh2_dlc15_mistwalkers
fimir_untamed_monsters_rampage_i	wh3_dlc24_unit_passive_feral_rage_i	fimir_untamed_monsters
fimir_untamed_monsters_rampage_ii	wh3_dlc24_unit_passive_feral_rage_ii	fimir_untamed_monsters
elo_fen_lord_heroes_warpfireball	wh2_dlc14_spell_bound_warpfireball	elo_fen_lord_heroes
elo_fen_lord_heroes_windblast	wh2_dlc11_spell_bound_wind_blast	elo_fen_lord_heroes
