battle_personality	land_unit	attach	riders_attachment_point	engine_articulation_index	jettison_rider
#land_units_to_battle_personalities_junctions_tables;2;db/land_units_to_battle_personalities_junctions_tables/ovn_fimir_only					
fim_death_quest_officer	fim_inf_death_quest	officer		-1	true
fim_death_quest_balefiend	fim_inf_death_quest	additional_officer		-1	true
fim_killing_eye_officer	fim_inf_killing_eye_ror	officer		-1	true
fim_bog_beast_draught_1	fim_veh_eye_oculus	autonomous_rider	ap_horseposition_0	-1	true
fim_bog_beast_draught_2	fim_veh_eye_oculus	autonomous_rider	ap_horseposition_1	-1	true
fim_shrine_balor_balefiend	fim_veh_eye_oculus	autonomous_rider	ap_crewposition_1	-1	true
fim_skattach_palanquin_skattach	fim_cha_meargh_skattach_palanquin	autonomous_rider	ap_crewposition_0	-1	true
fim_marsh_reaver_rider_ror	fim_cav_marsh_hornets_ror	autonomous_rider	ap_riderposition_0	-1	true
fim_marsh_reaver_rider	fim_cav_marsh_reavers	autonomous_rider	ap_riderposition_0	-1	true
fim_marsh_reaver_rider_kroll	fim_cav_marsh_reavers_kroll	autonomous_rider	ap_riderposition_0	-1	true
fim_cha_fimirach_noble_bog_beast	fim_cha_fimirach_noble_bog_beast	autonomous_rider	ap_riderposition_0	-1	true
