id	building_superchain	slot_template
#slot_template_to_building_superchain_junctions_tables;0;db/slot_template_to_building_superchain_junctions_tables/ovn_grudge		
250519190	wh_main_emp_cha_grudge_main	horde_primary
250519191	wh_main_emp_cha_grudge_recruit	horde_secondary
250519192	wh_main_emp_cha_grudge_wizard	horde_secondary
250519193	wh_main_emp_cha_grudge_worship	horde_secondary
250519194	wh_main_emp_cha_grudge_growth	horde_secondary
250519195	wh_main_emp_cha_grudge_paymaster	horde_secondary
250519196	wh_main_emp_cha_grudge_blacksmith	horde_secondary
250519197	wh_main_emp_cha_grudge_income	horde_secondary
250519198	wh_main_emp_cha_grudge_main	grudge_horde_primary
250519199	wh_main_emp_cha_grudge_recruit	grudge_horde_secondary
250519200	wh_main_emp_cha_grudge_wizard	grudge_horde_secondary
250519201	wh_main_emp_cha_grudge_worship	grudge_horde_secondary
250519202	wh_main_emp_cha_grudge_growth	grudge_horde_secondary
250519203	wh_main_emp_cha_grudge_paymaster	grudge_horde_secondary
250519204	wh_main_emp_cha_grudge_blacksmith	grudge_horde_secondary
250519205	wh_main_emp_cha_grudge_income	grudge_horde_secondary
250519206	wh_main_emp_cha_grudge_recruit_race_other	horde_secondary
250519207	wh_main_emp_cha_grudge_recruit_race_other	grudge_horde_secondary
250519208	wh_main_emp_cha_grudge_replen	horde_secondary
250519209	wh_main_emp_cha_grudge_replen	grudge_horde_secondary
250519210	wh_main_emp_cha_grudge_storehouse	horde_secondary
250519211	wh_main_emp_cha_grudge_storehouse	grudge_horde_secondary
250519212	wh_main_emp_cha_grudge_gunpowder	horde_secondary
250519213	wh_main_emp_cha_grudge_gunpowder	grudge_horde_secondary
250519214	wh_main_emp_cha_grudge_replen_camp	horde_secondary
250519215	wh_main_emp_cha_grudge_replen_camp	grudge_horde_secondary
250519216	wh_main_emp_cha_grudge_storehouse_camp	horde_secondary
250519217	wh_main_emp_cha_grudge_storehouse_camp	grudge_horde_secondary
250519218	wh_main_emp_cha_grudge_paymaster_camp	horde_secondary
250519219	wh_main_emp_cha_grudge_paymaster_camp	grudge_horde_secondary
