faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/ovn_araby_only	
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL
ovn_arb_golden_fleet	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL
ovn_arb_aswad_scythans	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_PATROL
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
ovn_arb_sultanate_of_all_araby	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
ovn_arb_sultanate_of_el_kalabad	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
ovn_arb_sultanate_of_el_kalabad	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
ovn_arb_sultanate_of_el_kalabad	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
ovn_arb_sultanate_of_el_kalabad	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
ovn_arb_sultanate_of_el_kalabad	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
ovn_arb_sultanate_of_el_kalabad	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
ovn_arb_sultanate_of_el_kalabad	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
