effect	bonus_value_id	unit_ability
#effect_bonus_value_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_ability_junctions_tables/obo_grudgebringers_data		
grudge_skill_ability_volley_of_arrows	enable	grudge_character_abilities_volley_of_high_arrows
grudge_skill_ability_volley_of_dark_arrows	enable	grudge_character_abilities_volley_of_dark_arrows
grudge_effect_ability_enable_arrow_of_kurnous	enable	grudge_hero_abilities_arrow_of_kurnous
grudge_effect_ability_enable_shrapnel_shot	enable	grudge_hero_abilities_shrapnel_shot
grudge_effect_ability_enable_pepperpot	enable	grudge_hero_abilities_pepperpot
grudge_effect_ability_enable_ballistics_calibration1	enable	grudge_ballistics_calibration1
grudge_effect_ability_disable_ballistics_calibration1	disable	grudge_ballistics_calibration1
grudge_effect_ability_enable_ballistics_calibration2	enable	grudge_ballistics_calibration2
grudge_effect_ability_disable_ballistics_calibration2	disable	grudge_ballistics_calibration2
grudge_effect_ability_enable_ballistics_calibration3	enable	grudge_ballistics_calibration3
grudge_effect_ability_enable_explosion1	enable	grudge_explosion1
grudge_effect_ability_enable_apexplosion1	enable	grudge_apexplosion1
grudge_effect_ability_disable_explosion1	disable	grudge_explosion1
grudge_effect_ability_enable_explosion2	enable	grudge_explosion2
grudge_effect_ability_disable_apexplosion1	disable	grudge_apexplosion1
grudge_effect_ability_enable_apexplosion2	enable	grudge_apexplosion2
grudge_effect_ability_disable_explosion2	disable	grudge_explosion2
grudge_effect_ability_enable_explosion3	enable	grudge_explosion3
grudge_effect_ability_disable_apexplosion2	disable	grudge_apexplosion2
grudge_effect_ability_enable_apexplosion3	enable	grudge_apexplosion3
grudge_effect_ability_enable_the_reikland_runefang	enable	grudge_weapon_abilities_the_reikland_runefang
grudge_effect_ability_enable_grudgebringer_sword	enable	grudge_weapon_abilities_grudgebringer_sword
grudge_effect_ability_enable_hellfire_sword	enable	grudge_weapon_abilities_hellfire_sword
grudge_effect_ability_enable_storm_sword	enable	grudge_weapon_abilities_storm_sword
grudge_effect_ability_enable_horn_of_urgok	enable	grudge_item_abilities_horn_of_urgok
grudge_effect_ability_enable_banner_of_wrath	enable	grudge_item_abilities_banner_of_wrath
grudge_effect_ability_enable_spelleater_shield	enable	grudge_item_abilities_spelleater_shield
grudge_effect_ability_enable_banner_of_arcane_warding	enable	grudge_item_abilities_banner_of_arcane_warding
grudge_skill_ability_swiftness_of_itzl	enable	grudge_ability_swiftness_of_itzl
grudge_skill_ability_skv_verminous_valour	enable	grudge_ability_skv_verminous_valour
obo_effect_enable_ability_extra_powder	enable	wh2_dlc11_unit_passive_extra_powder
obo_effect_enable_ability_more_powder	enable	wh2_dlc11_hero_abilities_more_powder
rhox_grudge_enable_martial_mastery	enable	wh2_main_unit_passive_martial_mastery
rhox_grudge_enable_martial_mastery	disable	wh2_main_unit_passive_martial_prowess
rhox_grudge_enable_stormbringer	enable	rhox_grudge_stormbringer_ability
omen_matthias_accusation_recharge	recharge_mod	wh_main_hero_abilities_accusation
rhox_grudge_enable_extra_reload	enable	wh3_dlc23_unit_passive_extra_reload
rhox_grudge_enable_endless_drum	enable	wh2_dlc12_unit_passive_endless_drum
