key	unit	unit_set
#ui_effect_excluded_units_and_sets_tables;0;db/ui_effect_excluded_units_and_sets_tables/rhox_grudgebringer		
35435821	morgan_bernhardt_mount	
35435822	gaston_mount	
35435823	ludwig_uberdorf_mount_main_units	
35435824	ludwig_uberdorf_gyrobomber_main_units	
35435826	cam_ludwig_uberdorf_steam_tank_main_units	
35435827	luther_flamenstrike_mount	
35435828	ice_mage_vladimir_stormbringer_mount	
35435829	ludwig_uberdorf_mechanical_steed	
35435830	ludwig_uberdorf_mount_main_units	
35435831	ceridan_eagle	
