key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost
#agent_subtypes_tables;1;db/agent_subtypes_tables/ovn_fimir_only																					
aky_chief_fimir_great_weapons	true	false		fim_cha_fimirach_noble	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true	fimir_lord			true	true	cannot_be_loaded_in_campaign		false	true	1250
fim_meargh_skattach	false	true		fim_cha_meargh_skattach	wh2_dlc15_vo_actor_Troll_River_Troll_Hag	true	-1	true	true	false	true	legendary_lords			true	true	cannot_be_loaded_in_campaign		false	true	1500
elo_boglar_shaman	true	true	ui/campaign ui/agents/wh_main_lore_lil_waaagh.png	fim_cha_boglar_shaman	wh_main_vo_actor_Goblin_NightShaman	true	-1	true	true	false	true		elo_lore_boglar		true	true	cannot_be_loaded_in_campaign		false	true	750
fim_dirach_lord_beasts	true	true	UI/Campaign UI/Agents/wh_dlc03_lore_beasts.png	fim_cha_dirach_beast	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true	fimir_dirach_lord	wh_dlc03_lore_beasts		true	true	cannot_be_loaded_in_campaign		false	true	1250
fim_dirach_lord_fire	true	true	UI/Campaign UI/Agents/wh_main_lore_fire.png	fim_cha_dirach_fire	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true	fimir_dirach_lord	wh_main_lore_fire		true	true	cannot_be_loaded_in_campaign		false	true	1250
fim_dirach_lord_shadow	true	true	ui/campaign ui/agents/wh_dlc05_lore_shadow.png	fim_cha_dirach_shadow	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true	fimir_dirach_lord	wh_dlc05_lore_shadows		true	true	cannot_be_loaded_in_campaign		false	true	1250
fim_dirach_lord_death	true	true	UI/Campaign UI/Agents/wh_main_lore_death.png	fim_cha_dirach_death	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true	fimir_dirach_lord	wh_main_lore_death		true	true	cannot_be_loaded_in_campaign		false	true	1250
fim_finmor	true	false	ui/campaign ui/agents/wh2_main_lzd_champion.png	fim_cha_finmor	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	1075
wh_dlc08_nor_cha_fimir_balefiend_death	true	true	ui/campaign ui/agents/wh_main_lore_death.png	wh_dlc08_nor_cha_fimir_balefiend_death	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	1050
wh_dlc08_nor_cha_fimir_balefiend_beast	true	true	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	wh_dlc08_nor_cha_fimir_balefiend_beast	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	1050
aky_chief_fimir_great_weapons_kroll	true	false		fim_cha_fimirach_noble	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true	fimir_lord			true	true	cannot_be_loaded_in_campaign		false	true	1250
fim_finmor_kroll	true	false	ui/campaign ui/agents/wh2_main_lzd_champion.png	fim_cha_finmor	wh_dlc08_vo_actor_Norsca_Fimir_Balefiend	true	-1	false	true	false	true				true	true	cannot_be_loaded_in_campaign		false	true	1075
fim_daemon_octopus_kroll	false	true		fim_cha_daemon_octopus_kroll	wh2_dlc11_vo_actor_VampireCoast_Mourngul_Haunter	true	-1	true	true	false	true	legendary_lords			true	true	cannot_be_loaded_in_campaign		false	true	2200
