from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_grudge	
wh_main_emp_cha_grudge_recruit_1	wh_main_emp_cha_grudge_recruit_2
wh_main_emp_cha_grudge_recruit_2	wh_main_emp_cha_grudge_recruit_3
wh_main_emp_cha_grudge_recruit_3	wh_main_emp_cha_grudge_recruit_4
wh_main_emp_cha_grudge_wizard_1	wh_main_emp_cha_grudge_wizard_2
wh_main_emp_cha_grudge_growth_1	wh_main_emp_cha_grudge_growth_2
wh_main_emp_cha_grudge_growth_2	wh_main_emp_cha_grudge_growth_3
wh_main_emp_cha_grudge_main_1	wh_main_emp_cha_grudge_main_2
wh_main_emp_cha_grudge_main_2	wh_main_emp_cha_grudge_main_3
wh_main_emp_cha_grudge_main_3	wh_main_emp_cha_grudge_main_4
wh_main_emp_cha_grudge_main_4	wh_main_emp_cha_grudge_main_5
wh_main_emp_cha_grudge_blacksmith	wh_main_emp_cha_grudge_blacksmith_2
wh_main_emp_cha_grudge_income	wh_main_emp_cha_grudge_income_2
wh_main_emp_cha_grudge_recruit_race_other_1	wh_main_emp_cha_grudge_recruit_race_other_2
wh_main_emp_cha_grudge_recruit_race_other_2	wh_main_emp_cha_grudge_recruit_race_other_3
wh_main_emp_cha_grudge_paymaster	wh_main_emp_cha_grudge_paymaster_2
wh_main_emp_cha_grudge_gunpowder_1	wh_main_emp_cha_grudge_gunpowder_2
wh_main_emp_cha_grudge_gunpowder_2	wh_main_emp_cha_grudge_gunpowder_3
wh_main_emp_cha_grudge_replen_1	wh_main_emp_cha_grudge_replen_2
wh_main_emp_cha_grudge_replen_camp_1	wh_main_emp_cha_grudge_replen_camp_2
wh_main_emp_cha_grudge_replen_camp_2	wh_main_emp_cha_grudge_replen_camp_3
wh_main_emp_cha_grudge_paymaster_camp	wh_main_emp_cha_grudge_paymaster_camp_2
wh_main_emp_cha_grudge_paymaster_camp_2	wh_main_emp_cha_grudge_paymaster_camp_3
wh_main_emp_cha_grudge_storehouse_camp_1	wh_main_emp_cha_grudge_storehouse_camp_2
