bonus_value_id	effect	unit_set_ability
#effect_bonus_value_unit_set_unit_ability_junctions_tables;0;db/effect_bonus_value_unit_set_unit_ability_junctions_tables/ovn_albion_buildings		
enable	disable_war_fury_2	disable_war_fury_2
enable	enable_zeal_holy_albion	enable_zeal_holy_albion
enable	elo_albion_protectors_world	elo_albion_protectors_world
enable	enable_frenzy_albion_warriors	enable_frenzy_albion_warriors
enable	enable_howling_shields	enable_howling_shields
enable	enable_opportunist_albion	enable_opportunist_albion
enable	enable_berserk_sword	enable_berserk_sword
enable	enable_hawkish_hunter	enable_hawkish_hunter
enable	enable_wh_dlc08_unit_passive_from_the_mist	enable_wh_dlc08_unit_passive_from_the_mist
enable	elo_druid_circle_banish	elo_druid_circle_banish
