key	auto_generate	is_caster	small_icon	associated_unit_override	audio_voiceover_actor_group	show_in_ui	cap	has_female_name	can_gain_xp	loyalty_is_applicable	contributes_to_agent_cap	recruitment_category	magic_lore	names_group	can_be_loaned	recruitable	saving_settings	audio_vo_culture_override	spam_click_vo_enabled	can_equip_ancillaries	cost
#agent_subtypes_tables;1;db/agent_subtypes_tables/ovn_albion_only																					
albion_warleader	true	false		albion_warleader	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	-1	false	true	true	true	albion_warleader		ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
albion_truthsayer_beast	true	true	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	albion_truthsayer_beast	vo_actor_Empire_dlc03_AmberWizard	true	-1	false	true	true	true	albion_truthsayer	wh_dlc03_lore_beasts	ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
albion_truthsayer_life	true	true	ui/campaign ui/agents/wh_dlc05_lore_life.png	albion_truthsayer_life	wh_dlc05_vo_actor_Empire_JadeWizard	true	-1	false	true	true	true	albion_truthsayer	wh_dlc05_lore_life	ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
albion_truthsayer_light	true	true	ui/campaign ui/agents/wh_main_lore_light.png	albion_truthsayer_light	wh_main_vo_actor_Empire_LightWizard	true	-1	false	true	true	true	albion_truthsayer	wh_main_lore_light	ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
albion_truthsayer_truth	true	true	ui/campaign ui/agents/truthsayer_lore.png	albion_truthsayer_truth	wh_dlc05_vo_actor_Empire_JadeWizard	true	-1	false	true	true	true	albion_truthsayer	elo_lore_truthsayer	ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
albion_wyrd_druid	true	true	ui/campaign ui/agents/wh_dlc03_lore_beasts.png	albion_wyrd_druid	wh_dlc05_vo_actor_Wood_Elves_Spellsinger	true	0	true	true	true	true			ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
albion_chief	true	false	ui/campaign ui/agents/wh_main_chs_champion.png	albion_chief	wh_dlc08_vo_actor_Norsca_Marauder_Chieftan	true	0	false	true	true	true			ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
albion_morrigan	false	true		albion_morrigan	wh2_dlc10_vo_actor_Dark_Elves_Supreme_Sorceress	true	-1	true	true	true	true	legendary_lords		ovn_alb_albion	true	true	cannot_be_loaded_in_campaign		false	true	0
bl_elo_dural_durak	false	true		bl_elo_dural_durak	wh_dlc05_vo_actor_Empire_JadeWizard	true	-1	false	true	true	true	legendary_lords	elo_lore_truthsayer	ovn_alb_albion	false	true	cannot_be_loaded_in_campaign		false	true	0
