from	to
#building_upgrades_junction_tables;0;db/building_upgrades_junction_tables/ovn_albion_buildings	
albion_hunters_2	albion_hunters_3
albion_order_2	albion_order_3
elo_ogham_stone_2	elo_ogham_stone_3
elo_temple_danu_2	elo_temple_danu_3
ovn_albion_military_2	ovn_albion_military_3
ovn_albion_stables_2	ovn_albion_stables_3
ovn_albion_walls_2	ovn_albion_walls_3
ovn_Waystone_2	ovn_Waystone_3
elo_ogham_stone_3	elo_ogham_stone_4
albion_hunters_1	albion_hunters_2
albion_order_1	albion_order_2
elo_ogham_stone_1	elo_ogham_stone_2
elo_temple_danu_1	elo_temple_danu_2
ovn_albion_military_1	ovn_albion_military_2
ovn_albion_stables_1	ovn_albion_stables_2
ovn_albion_walls_1	ovn_albion_walls_2
ovn_Waystone_1	ovn_Waystone_2
alb_resource_pottery_1	alb_resource_pottery_2
alb_resource_pottery_2	alb_resource_pottery_3
alb_resource_wood_1	alb_resource_wood_2
alb_resource_wood_2	alb_resource_wood_3
alb_resource_medicine_1	alb_resource_medicine_2
alb_resource_medicine_2	alb_resource_medicine_3
albion_gryphon_eyrie_1	albion_gryphon_eyrie_2
albion_oracle_hall_1	albion_oracle_hall_2
albion_smith_1	albion_smith_2
ovn_albion_settlement_major_1	ovn_albion_settlement_major_2
ovn_albion_settlement_major_2	ovn_albion_settlement_major_3
ovn_albion_settlement_major_3	ovn_albion_settlement_major_4
ovn_albion_settlement_major_4	ovn_albion_settlement_major_5
ovn_albion_settlement_major_ruin	ovn_albion_settlement_major_1
ovn_albion_settlement_minor_1	ovn_albion_settlement_minor_2
ovn_albion_settlement_minor_2	ovn_albion_settlement_minor_3
ovn_albion_settlement_minor_ruin	ovn_albion_settlement_minor_1
ovn_Waystone_beacon	ovn_Waystone_marker
ovn_albion_resource_exotic_animals	ovn_albion_resource_exotic_animals_2
ovn_albion_resource_exotic_animals_2	ovn_albion_resource_exotic_animals_3
ovn_albion_resource_furs	ovn_albion_resource_furs_2
ovn_albion_resource_furs_2	ovn_albion_resource_furs_3
ovn_albion_resource_ivory	ovn_albion_resource_ivory_2
ovn_albion_resource_ivory_2	ovn_albion_resource_ivory_3
ovn_albion_resource_pastures	ovn_albion_resource_pastures_2
ovn_albion_resource_pastures_2	ovn_albion_resource_pastures_3
