attrition	faction
#campaign_map_attrition_faction_immunities_tables;0;db/campaign_map_attrition_faction_immunities_tables/ovn_albion_only	
storm_level_1	ovn_alb_order_of_the_truthsayers
storm_level_2	ovn_alb_order_of_the_truthsayers
storm_level_3	ovn_alb_order_of_the_truthsayers
storm_level_4	ovn_alb_order_of_the_truthsayers
storm_level_5	ovn_alb_order_of_the_truthsayers
swamp	ovn_alb_order_of_the_truthsayers
sea_monster_storm	ovn_alb_order_of_the_truthsayers
maelstrom	ovn_alb_order_of_the_truthsayers
non_vampire_territory	ovn_alb_order_of_the_truthsayers
chaos_territory	ovn_alb_order_of_the_truthsayers
snow	ovn_alb_order_of_the_truthsayers
storm_level_1	ovn_alb_host_ravenqueen
storm_level_2	ovn_alb_host_ravenqueen
storm_level_3	ovn_alb_host_ravenqueen
storm_level_4	ovn_alb_host_ravenqueen
storm_level_5	ovn_alb_host_ravenqueen
swamp	ovn_alb_host_ravenqueen
sea_monster_storm	ovn_alb_host_ravenqueen
maelstrom	ovn_alb_host_ravenqueen
non_vampire_territory	ovn_alb_host_ravenqueen
chaos_territory	ovn_alb_host_ravenqueen
snow	ovn_alb_host_ravenqueen
chaos_wastes	ovn_alb_host_ravenqueen
ovn_albion_storm	ovn_alb_host_ravenqueen
ovn_albion_storm	ovn_alb_order_of_the_truthsayers
