key	tech_category_tab	tech_category_position	chain_category	in_encyclopedia	building_superchain	optional_tier_icon	optional_sort_order	optional_required_horde_commander	can_be_dismantled
#building_chains_tables;9;db/building_chains_tables/ovn_albion_buildings									
ovn_Waystone			military	false	ovn_Waystone		7		true
ovn_Waystone_marker			military	false	ovn_Waystone_marker		7		true
ovn_Waystone_beacon			military	false	ovn_Waystone_beacon		7		true
ovn_albion_military			military	false	ovn_albion_military		0		true
ovn_albion_stables			military	false	ovn_albion_stables		0		true
elo_ogham_stone			military	false	elo_ogham_stone		0		true
elo_temple_danu			military	false	elo_temple_danu		0		true
albion_hunters			money	false	albion_hunters		0		true
albion_order			happiness	false	albion_order		0		true
albion_smith			military	false	albion_smith		0		true
albion_hall_heroes			military	false	albion_hall_heroes		0		true
albion_gryphon_eyrie			military	false	albion_gryphon_eyrie		3		true
elo_great_ogham			money	false	elo_great_ogham		0		true
elo_forge_old_ones			money	false	elo_forge_old_ones		0		true
elo_citadel_lead			money	false	elo_citadel_lead		0		true
albion_oracle_hall			military	false	albion_oracle_hall		0		true
ovn_albion_foreign_slot_discovery			military	false	ovn_albion_foreign_slot_discovery		0		true
ovn_albion_walls			military	false	ovn_albion_walls		0		true
alb_resource_marble			money	false	alb_resource_marble		0		true
alb_resource_wood			money	false	alb_resource_wood		0		true
alb_resource_gold			money	false	alb_resource_gold		0		true
alb_resource_iron			money	false	alb_resource_iron		0		true
alb_resource_pottery			money	false	alb_resource_pottery		0		true
alb_resource_medicine			money	false	alb_resource_medicine		0		true
ovn_albion_settlement_major			money	true	wh_main_sch_main_settlement		0		true
ovn_albion_settlement_minor			money	true	wh_main_sch_main_settlement		0		true
