key	localised_description	localised_title	bundle_target	priority	ui_icon	is_global_effect	show_in_3d_space	owner_only
#effect_bundles_tables;4;db/effect_bundles_tables/ovn_albion_only								
albion_scary_banner		Scary Banner	character	1	public_order.png	false	false	true
anc_albion_triskele_banner		Triskele Banner	character	1	public_order.png	false	false	true
anc_danu_banner		Ishernos Banner	character	1	public_order.png	false	false	true
anc_albion_hunter_banner		Hunter's Banner	character	1	public_order.png	false	false	true
ovn_albion_second_lord_mission_durak			faction	1	effect_rite.png	true	false	true
ovn_albion_second_lord_mission_morrigan			faction	1	effect_rite.png	true	false	true
wh2_main_lord_trait_nor_albion	<-Placeholder->	Masters of a Blighted Land	faction	1	disaster.png	false	false	true
ovn_albion_waystone_build_time			province	1	construction.png	false	false	true
ovn_faction_trait_albion			faction	1	food.png	false	false	true
