key	agent_key	for_army	for_navy	faction_key	campaign_key	subculture	agent_subtype_key
#character_skill_node_sets_tables;0;db/character_skill_node_sets_tables/ovn_albion							
node_set_warleader	general	false	false				albion_warleader
node_set_truth_beasts	general	false	false				albion_truthsayer_beast
node_set_truth_light	general	false	false				albion_truthsayer_light
node_set_truth_life	general	false	false				albion_truthsayer_life
node_set_truth_truth	general	false	false				albion_truthsayer_truth
node_set_albion_chief	champion	false	false				albion_chief
node_set_albion_wizard	wizard	false	false				albion_wyrd_druid
node_set_morrigan	general	false	false				albion_morrigan
node_set_dural_durak	general	false	false				bl_elo_dural_durak
