override_faction	override_subculture	source_resource	target_resource
#resource_ui_overrides_tables;0;db/resource_ui_overrides_tables/ovn_sc_alb_albion			
	ovn_sc_alb_albion	res_location_brt_wef_hef	
	ovn_sc_alb_albion	res_location_brt	
	ovn_sc_alb_albion	res_location_def	
	ovn_sc_alb_albion	res_location_dwf_grn_skv	
	ovn_sc_alb_albion	res_location_dwf_grn	
	ovn_sc_alb_albion	res_location_dwf_skv	
	ovn_sc_alb_albion	res_location_dwf	
	ovn_sc_alb_albion	res_location_emp_brt	
	ovn_sc_alb_albion	res_location_emp_vmp_brt	
	ovn_sc_alb_albion	res_location_emp_vmp	
	ovn_sc_alb_albion	res_location_emp	
	ovn_sc_alb_albion	res_location_grn	
	ovn_sc_alb_albion	res_location_hef_def	
	ovn_sc_alb_albion	res_location_hef_wef	
	ovn_sc_alb_albion	res_location_hef	
	ovn_sc_alb_albion	res_location_lzd	
	ovn_sc_alb_albion	res_location_skv_lzd	
	ovn_sc_alb_albion	res_location_skv	
	ovn_sc_alb_albion	res_location_tmb	
	ovn_sc_alb_albion	res_location_vmp_arkhan	
	ovn_sc_alb_albion	res_location_vmp	
	ovn_sc_alb_albion	res_location_xef_emp_brt	
