unit	military_group
#units_to_groupings_military_permissions_tables;0;db/units_to_groupings_military_permissions_tables/ovn_albion_buildings	
albion_centaurs	wh3_main_ksl
albion_morrigan	wh3_main_ksl
albion_chariot	wh3_main_ksl
albion_chief	wh3_main_ksl
albion_fenhulk	wh3_main_ksl
albion_giant	wh3_main_ksl
albion_half_giants	wh3_main_ksl
albion_hearthguard	wh3_main_ksl
albion_hearthguard_2h	wh3_main_ksl
albion_hearthguard_halberd	wh3_main_ksl
albion_huntresses	wh3_main_ksl
albion_riders	wh3_main_ksl
albion_riders_javelins	wh3_main_ksl
albion_stonethrower	wh3_main_ksl
albion_warleader	wh3_main_ksl
albion_wyrd_druid	wh3_main_ksl
druid_neophytes	wh3_main_ksl
elo_albion_cha_queen	wh3_main_ksl
elo_albion_warriors	wh3_main_ksl
elo_albion_warriors_2h	wh3_main_ksl
elo_albion_warriors_spears	wh3_main_ksl
elo_bloodhounds	wh3_main_ksl
elo_fenbeast	wh3_main_ksl
elo_woadraider	wh3_main_ksl
elo_youngbloods	wh3_main_ksl
albion_wyrd_druid_horse	wh3_main_ksl
albion_truthsayer_beast	wh3_main_ksl
albion_truthsayer_beast_horse	wh3_main_ksl
albion_truthsayer_life	wh3_main_ksl
albion_truthsayer_life_horse	wh3_main_ksl
albion_truthsayer_light	wh3_main_ksl
albion_truthsayer_light_horse	wh3_main_ksl
albion_truthsayer_truth	wh3_main_ksl
albion_truthsayer_truth_horse	wh3_main_ksl
albion_chief_chariot	wh3_main_ksl
albion_chief_horse	wh3_main_ksl
albion_swordmaiden	wh3_main_ksl
elo_albion_gryphon	wh3_main_ksl
alb_cav_noble	wh3_main_ksl
alb_cav_noble_spear	wh3_main_ksl
alb_viridian_champ	wh3_main_ksl
albion_riders_spear	wh3_main_ksl
ovn_alb_inf_stone_throw_giant	wh3_main_ksl
ovn_barrow_wight	wh3_main_ksl
wh2_dlc16_wef_mon_zoats	wh3_main_ksl
albion_shieldmaiden_ror	wh3_main_ksl
albion_bologs_giant_ror	wh3_main_ksl
elo_fly_infested_rotwood	wh3_main_ksl
albion_woadraider_sworn_ror	wh3_main_ksl
alb_cav_noble_first_ror	wh3_main_ksl
albion_warriors_lugh	wh3_main_ksl
albion_huntresses_warden_ror	wh3_main_ksl
albion_centaur_hunter_ror	wh3_main_ksl
albion_cachtorr_stonethrower	wh3_main_ksl
albion_highlander_ror	wh3_main_ksl
