building	effect	context_requirement	effect_scope	value	value_damaged	value_ruined
#building_effects_junction_tables;0;db/building_effects_junction_tables/ovn_albion_res						
ovn_albion_resource_dyes	wh_main_effect_economy_gdp_culture		building_to_building_own	150.0000	75.0000	0.0000
ovn_albion_resource_dyes	elo_savage_matt		faction_to_force_own	2.0000	1.0000	0.0000
ovn_albion_resource_dyes	wh_main_effect_public_order_base		province_to_province_own_unseen	4.0000	2.0000	0.0000
ovn_albion_resource_dyes	wh_main_effect_region_resource_dyes_production		building_to_building_own	25.0000	13.0000	0.0000
ovn_albion_resource_exotic_animals	sessair_troops_antiIn		faction_to_force_own	1.0000	0.0000	0.0000
ovn_albion_resource_exotic_animals	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	50.0000	25.0000	0.0000
ovn_albion_resource_exotic_animals	wh_main_effect_province_growth_building		region_to_province_own	15.0000	7.0000	0.0000
ovn_albion_resource_exotic_animals	wh_main_effect_region_resource_animals_production		building_to_building_own	10.0000	5.0000	0.0000
ovn_albion_resource_exotic_animals_2	sessair_troops_antiIn		faction_to_force_own	2.0000	2.0000	0.0000
ovn_albion_resource_exotic_animals_2	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	75.0000	40.0000	0.0000
ovn_albion_resource_exotic_animals_2	wh_main_effect_province_growth_building		region_to_province_own	30.0000	15.0000	0.0000
ovn_albion_resource_exotic_animals_2	wh_main_effect_region_resource_animals_production		building_to_building_own	20.0000	10.0000	0.0000
ovn_albion_resource_exotic_animals_3	sessair_troops_antiIn		faction_to_force_own	4.0000	2.0000	0.0000
ovn_albion_resource_exotic_animals_3	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	100.0000	50.0000	0.0000
ovn_albion_resource_exotic_animals_3	wh_main_effect_province_growth_building		region_to_province_own	45.0000	25.0000	0.0000
ovn_albion_resource_exotic_animals_3	wh_main_effect_region_resource_animals_production		building_to_building_own	35.0000	17.0000	0.0000
ovn_albion_resource_furs	sessair_troops_mattk		faction_to_force_own	2.0000	1.0000	0.0000
ovn_albion_resource_furs	sessair_troops_wps		faction_to_force_own	3.0000	2.0000	0.0000
ovn_albion_resource_furs	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	100.0000	50.0000	0.0000
ovn_albion_resource_furs	wh_main_effect_region_resource_furs_production		building_to_building_own	10.0000	5.0000	0.0000
ovn_albion_resource_furs_2	sessair_troops_mattk		faction_to_force_own	3.0000	1.0000	0.0000
ovn_albion_resource_furs_2	sessair_troops_wps		faction_to_force_own	5.0000	3.0000	0.0000
ovn_albion_resource_furs_2	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	150.0000	75.0000	0.0000
ovn_albion_resource_furs_2	wh_main_effect_region_resource_furs_production		building_to_building_own	20.0000	10.0000	0.0000
ovn_albion_resource_furs_3	sessair_troops_mattk		faction_to_force_own	4.0000	2.0000	0.0000
ovn_albion_resource_furs_3	sessair_troops_wps		faction_to_force_own	10.0000	5.0000	0.0000
ovn_albion_resource_furs_3	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	200.0000	100.0000	0.0000
ovn_albion_resource_furs_3	wh_main_effect_region_resource_furs_production		building_to_building_own	35.0000	17.0000	0.0000
ovn_albion_resource_gemstones	wh_main_effect_economy_gdp_mining		building_to_building_own	250.0000	125.0000	0.0000
ovn_albion_resource_gemstones	wh_main_effect_region_resource_gem_production		building_to_building_own	25.0000	13.0000	0.0000
ovn_albion_resource_gemstones	wh_main_faction_political_diplomacy_mod_norsca		faction_to_faction_own	10.0000	10.0000	0.0000
ovn_albion_resource_ivory	wh3_main_effect_region_resource_ivory_production		building_to_building_own	10.0000	5.0000	0.0000
ovn_albion_resource_ivory	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	125.0000	65.0000	0.0000
ovn_albion_resource_ivory_2	wh3_main_effect_region_resource_ivory_production		building_to_building_own	20.0000	10.0000	0.0000
ovn_albion_resource_ivory_2	wh_main_effect_economy_gdp_agriculture_animal_husbandry		building_to_building_own	200.0000	100.0000	0.0000
