key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	min_turning_speed	fly_speed	flying_charge_speed	size	strafe_speed	gradient_strategy	audio_entity_type	combat_reaction_radius	entity_effects	hit_reactions_ignore_chance	knock_interrupts_ignore_chance	soft_collision_offset_z	can_climb_ladder_and_stair_pipes	projectile_intersection_radius_ratio	projectile_penetration_speed_change	projectile_penetration_resistance	aura_vfx	porthole_camera	min_tracking_ratio	max_tracking_ratio	vfx_filter_id	can_cast_projectile	porthole_composite_scene	has_blood	can_dismember	combat_camera_shake	dismember_head_alive_hp_ratio	dismember_arms_alive_hp_ratio	jump_attack_chance	locomotion_constant	enable_engine_crew_turn_in_movement_direction	dealt_collision_knocked_flying_threshold_multiplier	dealt_collision_knocked_down_threshold_multiplier	dealt_collision_knocked_back_threshold_multiplier	anim_lod_distance_multiplier	size_for_animation_lod	leaves_collision_when_dies
#battle_entities_tables;38;db/battle_entities_tables/ovn_albion_only																																																								
albion_warhorse_noble_entity	horse	2.0	8.0	6.0	7.0	10.0	35.0	30.0	25.0	1.4	ellipse	0.47	450.0	2.0	360.0	140.0	8	true	true	1.0	0.0	0.0	medium	3.0	rotation_x	wh_horse_normal	0.0	cavalry_effects	0	0	0.0	false	1.0	0.85	2			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
huntress_entity	man	1.5	3.6	3.0	4.0	4.4	35.0	30.0	30.0	0.65	circle	1.0	100.0	1.8	360.0	120.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	none	0.0	infantry_light_effects	0	0	0.0	true	1.0	0.95	1			0.5	1.6	20	false		true	true	wh_main_unit_combat	-1.0	-1.0	40	small_entity	false	1.0	1.0	1.0	1.0		false
albion_giant_entity	giant	2.8	4.6	3.2	4.0	5.4	35.0	30.0	30.0	2.4	circle	1.0	6500.0	9.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	ignore	wh_giant	6.0	giant_effects	40	40	0.0	false	0.8	0.75	5			0.3	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
woad_raider_entity	man	1.5	3.9	3.2	4.0	4.6	35.0	30.0	30.0	0.89	circle	1.0	180.0	1.9	60.0	120.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	wh_chaos_marauder	4.0	infantry_light_effects	15	15	0.0	true	1.0	0.9	2			0.5	1.45	0	false		true	true	wh_main_unit_combat	-1.0	-1.0	30	small_entity	false	1.0	1.0	1.0	1.0		false
albion_warhorse_entity	horse	2.0	9.2	6.5	7.0	11.3	35.0	30.0	25.0	1.4	ellipse	0.47	450.0	2.0	360.0	140.0	8	true	true	1.0	0.0	0.0	medium	3.0	rotation_x	wh_horse_normal	0.0	cavalry_effects	0	0	0.0	false	1.0	0.85	2			0.5	1.6	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
albion_warhorse_chariot	horse	1.5	8.2	6.0	7.0	10.8	35.0	30.0	30.0	1.3	capsule	0.6	700.0	1.4	360.0	80.0	8	true	true	2.8	0.0	0.0	large	1.0	rotation	wh_chariot_wood	3.0	artillery_effects	0	0	0.0	false	1.0	0.8	4			0.5	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	true	1.0	1.0	1.0	1.0		true
albion_fenhulk	giant	2.6	3.8	2.0	3.0	4.4	35.0	30.0	30.0	2.4	circle	1.0	10000.0	8.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	ignore	wh2_tmb_hierotitan	6.0	giant_effects	75	60	0.0	false	0.8	0.75	5			0.3	1.45	0	false		false	false	wh_main_unit_combat	-1.0	-1.0	10	large_entity	false	1.0	1.0	1.0	1.0		false
albion_half_giant	giant	2.8	5.2	4.0	4.0	7.0	40.0	35.0	35.0	1.1	circle	1.0	2500.0	4.0	60.0	80.0	8	true	true	0.0	0.0	0.0	large	1.0	ignore	wh3_ogr_maneater_great_weapon	5.0	monstrous_infantry_effects	15	15	0.0	false	1.0	0.8	3			0.5	1.45	0	false		true	true	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
bologs_entity_giant	giant	2.8	4.8	3.8	4.0	6.0	35.0	30.0	30.0	2.4	circle	1.0	9000.0	10.0	60.0	60.0	8	true	true	0.0	0.0	0.0	very_large	1.0	ignore	wh_giant	6.0	giant_effects	60	60	0.0	false	0.8	0.5	8			0.3	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
huntress_warden_entity	man	1.5	3.4	3.0	4.0	4.0	35.0	30.0	30.0	0.65	circle	1.0	125.0	1.8	60.0	120.0	8	true	true	0.0	0.0	0.0	small	1.0	ignore	none	0.0	infantry_light_effects	0	0	0.0	true	1.0	0.95	1			0.5	1.6	20	false		true	true	wh_main_unit_combat	-1.0	-1.0	40	small_entity	false	1.0	1.0	1.0	1.0		false
feral_griffon_blood	giant	3.0	7.0	5.0	10.0	9.5	35.0	30.0	35.0	2.4	capsule	0.5	1650.0	4.0	120.0	100.0	8	true	true	0.0	10.0	13.0	very_large	1.5	rotation_x	wh_griffin	6.0	war_beast_effects	50	50	0.0	false	1.3	0.75	5			0.0	1.45	0	false		true	false	wh_main_unit_combat	-1.0	-1.0	20	large_entity	false	1.0	1.0	1.0	1.0		false
alb_catapult_entity	artillery	2.2	2.2	3.0	4.0	2.2	30.0	20.0	20.0	2.1	capsule	0.5	3000.0	2.8	50.0	55.0	450	false	false	0.0	0.0	0.0	very_large	1.2	rotation	wh_war_machine_wood_small	0.0	artillery_effects	0	0	0.0	false	1.0	0.75	5		dwf_grudgethrower	0.5	1.45	0	false	composite_scene/porthole/alb_stonethrower_porthole_01.csc	false	false	wh_main_unit_combat	-1.0	-1.0	20	wheeled_entity	true	1.0	1.0	1.0	1.0		true
