key	man_animations_table	variant	battle_entity	battle_entity_stats	autonomous_rider_hero	autonomous_rider_can_shoot_in_melee	can_only_be_used_by_draught
#battle_personalities_tables;12;db/battle_personalities_tables/ovn_albion_only							
albion_chariot_driver	hu1c_chaos_wm_chariot_whip	albion_chariot_driver	wh_main_infantry_rider		false	true	false
albion_chariot_fighter	hu1c_chaos_wm_chariot_halberd	albion_chariot_fighter	wh_main_infantry_rider		false	true	false
albion_warleader_charioteer	hu1c_chaos_wm_chariot_axe_and_shield	albion_warleader	wh_main_infantry_standard_hero_blood		true	true	false
albion_chief_charioteer	hu1c_chaos_wm_chariot_halberd	albion_chief	wh_main_infantry_rider		true	true	false
albion_morrigan_bird_rider	hu1e_alb_morrigan_crow_mount	albion_morrigan_bird	wh_main_infantry_rider		true	true	false
bl_elo_dural_durak	hu1_empire_staff_and_sword	bl_elo_dural_durak	wh_main_infantry_rider		false	true	false
alb_cav_noble	hu1c_dlc20_chaos_hr1_large_heavy_horse_mace_and_shield	alb_cav_noble	wh3_dlc20_chaos_knight_rider_blood		false	true	false
alb_cav_noble_spear	hu1c_dlc20_chaos_knights_hr1_large_heavy_horse_lance_sword_and_shield	alb_cav_noble_spear	wh3_dlc20_chaos_knight_rider_blood		false	true	false
albion_riders_spear	hu1c_dlc20_chaos_knights_hr1_large_heavy_horse_lance_sword_and_shield	albion_riders_spear	wh3_dlc20_chaos_knight_rider_blood		false	true	false
albion_riders	hu1c_dlc20_chaos_hr1_large_heavy_horse_mace_and_shield	albion_riders	wh3_dlc20_chaos_knight_rider_blood		false	true	false
albion_riders_javelins	hu1c_chaos_hr1_warhorse_spear_and_javelins	albion_riders_javelins	wh3_dlc20_marauder_horsemen_rider_blood		false	true	false
albion_warleader_horse	hu1c_wh3_dlc20_hr1_glhh_sword_and_shield	albion_warleader	wh3_dlc20_chs_cha_lord_hero		true	true	false
albion_chief_horse	hu1c_wh3_dlc20_hr1_glhh_2handed_axe	albion_chief	wh3_dlc20_chs_cha_lord_hero		true	true	false
alb_cav_noble_first_ror	hu1c_dlc20_chaos_hr1_large_heavy_horse_mace_and_shield	alb_cav_noble_first_ror	wh3_dlc20_chaos_knight_rider_blood		false	true	false
albion_truthsayer_beast_horse_officer	hu1c_chaos_hr1_warhorse_staff_and_sword	albion_truthsayer	wh3_dlc20_chs_cha_lord_hero		true	true	false
albion_truthsayer_light_horse_officer	hu1c_chaos_hr1_warhorse_staff_and_sword	albion_truthsayer	wh3_dlc20_chs_cha_lord_hero		true	true	false
albion_truthsayer_life_horse_officer	hu1c_chaos_hr1_warhorse_staff_and_sword	albion_truthsayer	wh3_dlc20_chs_cha_lord_hero		true	true	false
albion_truthsayer_truth_horse_officer	hu1c_chaos_hr1_warhorse_staff_and_sword	albion_truthsayer	wh3_dlc20_chs_cha_lord_hero		true	true	false
