uniform_name	filename	battle_filename	campaign_porthole_filename	campaign_politician_filename	campaign_override_skeleton
#agent_uniforms_tables;10;db/agent_uniforms_tables/ovn_albion_only					
albion_morrigan	albion_morrigan	albion_morrigan	albion_morrigan		
albion_warleader	albion_warleader	albion_warleader	albion_warleader		
albion_truthsayer_beast	albion_truthsayer_beast	albion_truthsayer_beast	albion_truthsayer_beast		
albion_truthsayer_life	albion_truthsayer_life	albion_truthsayer_life	albion_truthsayer_life		
albion_truthsayer_light	albion_truthsayer_light	albion_truthsayer_light	albion_truthsayer_light		
albion_truthsayer_truth	albion_truthsayer_truth	albion_truthsayer_truth	albion_truthsayer_truth		
albion_wyrd_druid	albion_wyrd_druid	albion_wyrd_druid	albion_wyrd_druid		
albion_chief	albion_chief_campaign	albion_chief	albion_chief		
bl_elo_dural_durak	bl_elo_dural_durak	bl_elo_dural_durak	bl_elo_dural_durak		
