building	culture	subculture	faction	description	icon	disables	short_description	display_tooltip
#building_culture_variants_tables;4;db/building_culture_variants_tables/ovn_albion_res								
ovn_albion_resource_dyes		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_dyes	false	ovn_albion_resource_dyes	true
ovn_albion_resource_exotic_animals		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_animals	false	ovn_albion_resource_exotic_animals	true
ovn_albion_resource_furs		ovn_sc_alb_albion		wh_main_PLACEHOLDER	cst_resource_furs	false	ovn_albion_resource_furs	true
ovn_albion_resource_gemstones		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_gems	false	ovn_albion_resource_gemstones	true
ovn_albion_resource_ivory		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_ivory	false	ovn_albion_resource_ivory	true
ovn_albion_resource_pastures		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_pasture_one	false	wh_main_emp_resource_pastures_1	true
ovn_albion_resource_salt		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_salt	false	ovn_albion_resource_salt	true
ovn_albion_resource_spices		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_spices	false	ovn_albion_resource_spices	true
ovn_albion_resource_wine		ovn_sc_alb_albion		wh_main_PLACEHOLDER	skaven_resource_wine	false	ovn_albion_resource_wine	true
ovn_albion_resource_obsidian		ovn_sc_alb_albion		wh_main_PLACEHOLDER	nor_obsidian	false	ovn_albion_resource_obsidian	true
ovn_albion_resource_exotic_animals_2		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_animals	false	ovn_albion_resource_exotic_animals_2	true
ovn_albion_resource_exotic_animals_3		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_animals	false	ovn_albion_resource_exotic_animals_3	true
ovn_albion_resource_furs_2		ovn_sc_alb_albion		wh_main_PLACEHOLDER	cst_resource_furs	false	ovn_albion_resource_furs_2	true
ovn_albion_resource_furs_3		ovn_sc_alb_albion		wh_main_PLACEHOLDER	cst_resource_furs	false	ovn_albion_resource_furs_3	true
ovn_albion_resource_ivory_2		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_ivory	false	ovn_albion_resource_ivory_2	true
ovn_albion_resource_ivory_3		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_ivory	false	ovn_albion_resource_ivory_3	true
ovn_albion_resource_pastures_2		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_pasture_one	false	wh_main_emp_resource_pastures_2	true
ovn_albion_resource_pastures_3		ovn_sc_alb_albion		wh_main_PLACEHOLDER	resource_pasture_one	false	wh_main_emp_resource_pastures_3	true
