ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ovn_albion_only			
anc_morrigan_staff	wh_main_effect_character_stat_miscast	character_to_character_own	-15.0
anc_morrigan_staff	wh3_main_effect_winds_of_magic_pooled_resource_change_positive	character_to_force_own_unseen	15.0
anc_morrigan_staff	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0
anc_morrigan_staff	albion_enable_bound_flock_of_doom	character_to_character_own	1.0
albion_hunting_dog	wh_main_effect_force_army_campaign_ambush_defence_success_chance	character_to_force_own_unseen	15.0
albion_hunting_dog	wh_main_effect_general_mod_tunnel_interception_chance	character_to_character_own	10.0
albion_lone_huntress	wh_main_effect_force_army_campaign_ambush_attack_success_chance	character_to_force_own_unseen	15.0
albion_lone_huntress	wh_main_effect_agent_movement_range_mod	character_to_character_own	5.0
albion_woad_raider	wh_main_effect_force_all_campaign_captives	character_to_force_own_unseen	10.0
albion_woad_raider	wh3_main_effect_corruption_reduction_characters	character_to_province_any	-2.0
albion_tame_raven	wh_main_effect_agent_field_line_of_sight_mod	character_to_character_own	15.0
albion_tame_raven	wh_main_effect_character_mod_ancillary_steal	character_to_character_own	10.0
albion_druid_advisor	wh3_main_effect_corruption_reduction_characters	character_to_province_any	-3.0
albion_druid_advisor	wh_main_effect_technology_research_points	character_to_faction	5.0
albion_chief	wh_main_effect_public_order_characters	character_to_province_own	2.0
albion_chief	wh_main_effect_province_growth_characters	character_to_province_own	10.0
albion_old_warrior	wh_main_effect_force_all_campaign_recruitment_cost_all	general_to_force_own	-10.0
albion_old_warrior	wh_main_effect_unit_recruitment_points	force_to_province_own	1.0
albion_scavanger	wh_main_effect_force_all_campaign_raid_income	general_to_force_own	5.0
albion_scavanger	wh_main_effect_force_all_campaign_sacking_income	character_to_character_own	5.0
albion_woman	wh_main_effect_force_all_campaign_replenishment_rate	general_to_force_own	5.0
fenbeast_follower	wh_main_effect_force_stat_leadership_enemy_unit	general_to_force_enemy_regionwide	-5.0
hearthguard_follower	wh_main_effect_agent_action_success_chance_enemy	character_to_character_own	-10.0
druid_neophyte	wh3_main_effect_winds_of_magic_pooled_resource_change_positive_mod	character_to_force_own_unseen	10.0
