building_chain	building_level	building_set	exclude
#building_set_to_building_junctions_tables;0;db/building_set_to_building_junctions_tables/ovn_albion_buildings			
ovn_Waystone		wh2_main_set_landmark	false
ovn_Waystone_marker		wh2_main_set_landmark	false
ovn_Waystone_beacon		wh2_main_set_landmark	false
ovn_albion_military		wh3_main_set_ksl_military_recruitment	false
ovn_albion_stables		wh3_main_set_ksl_military_recruitment	false
elo_ogham_stone		wh3_main_set_ksl_military_support	false
elo_temple_danu		wh3_main_set_ksl_military_support	false
albion_hunters		wh3_main_set_ksl_infrastructure	false
albion_order		wh3_main_set_ksl_infrastructure	false
albion_smith		wh3_main_set_ksl_infrastructure	false
albion_hall_heroes		wh3_main_set_ksl_military_support	false
albion_gryphon_eyrie		wh3_main_set_ksl_military_recruitment	false
elo_great_ogham		wh2_main_set_landmark	false
elo_forge_old_ones		wh2_main_set_landmark	false
elo_citadel_lead		wh2_main_set_landmark	false
albion_oracle_hall		wh3_main_set_ksl_military_support	false
ovn_albion_foreign_slot_discovery		wh3_main_set_ksl_defence	false
ovn_albion_walls		wh3_main_set_ksl_defence	false
ovn_albion_settlement_minor		wh_main_set_settlement_major	false
ovn_albion_settlement_major		wh_main_set_settlement_minor	false
ovn_Waystone		ovn_Waystone	false
