id	priority	unit	unit_group
#armed_citizenry_units_to_unit_groups_junctions_tables;0;db/armed_citizenry_units_to_unit_groups_junctions_tables/ovn_albion_outpost			
79029	500	elo_albion_warriors	elo_albion_warriors
79030	500	elo_youngbloods	elo_youngbloods
79031	500	albion_riders	albion_riders
79032	750	elo_woadraider	elo_woadraider
79033	750	albion_riders_spear	albion_riders_spear
79034	750	druid_neophytes	druid_neophytes
79035	1000	druid_neophytes	druid_neophytes
79036	1000	albion_chariot	albion_chariot
79037	1000	albion_hearthguard	albion_hearthguard
