base_unit	mounted_unit	icon_name
#units_custom_battle_mounts_tables;1;db/units_custom_battle_mounts_tables/ovn_albion_only		
albion_truthsayer_beast	albion_truthsayer_beast_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_truthsayer_life	albion_truthsayer_life_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_truthsayer_light	albion_truthsayer_light_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_truthsayer_truth	albion_truthsayer_truth_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_warleader	albion_warleader_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_warleader	albion_warleader_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
albion_chief	albion_chief_horse	ui/campaign ui/mounts/mount_warhorse.png
albion_chief	albion_chief_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
albion_morrigan	albion_morrigan_bird	ui/campaign ui/mounts/mount_great_eagle.png
albion_wyrd_druid	albion_wyrd_druid_horse	ui/campaign ui/mounts/mount_warhorse.png
bl_elo_dural_durak	bl_elo_dural_durak_horse	ui/campaign ui/mounts/mount_warhorse.png
bl_elo_dural_durak	bl_elo_dural_durak_chariot	ui/campaign ui/mounts/mount_chaos_chariot.png
