chain	chain_set	slot_template	super_chain	remove
#slot_template_permitted_building_chains_tables;0;db/slot_template_permitted_building_chains_tables/ovn_albion_building_chains				
	ovn_Waystone	wh_main_special_citadel_of_lead_secondary		false
	ovn_Waystone	wh_main_special_konquata_secondary		false
	ovn_Waystone	mixer_ime_norsca_minor_secondary_isle_of_wights		false
	elo_great_ogham	mixer_ime_norsca_minor_secondary_isle_of_wights		false
	elo_forge_old_ones	wh_main_special_konquata_secondary		false
	elo_citadel_lead	wh_main_special_citadel_of_lead_secondary		false
	ovn_Waystone_marker	wh_main_special_couronne_secondary		false
	ovn_Waystone_marker	wh2_main_special_karond_kar_secondary		false
	ovn_Waystone_marker	wh_main_special_marienburg_secondary		false
	ovn_Waystone_marker	wh3_main_special_fortress_of_the_damned_secondary_marble		false
	ovn_Waystone_marker	wh2_main_special_laurelorn_forest_secondary		false
	ovn_Waystone_marker	wh2_main_special_salzenmund_secondary		false
	ovn_Waystone_marker	wh2_main_special_castle_drachenfels_secondary		false
	ovn_Waystone_marker	wh_main_special_altdorf_secondary		false
	ovn_Waystone_marker	wh2_main_special_har_ganeth_secondary		false
	ovn_Waystone_marker	wh_main_special_massif_orca_secondary		false
	ovn_Waystone_marker	wh2_main_special_clar_karond_secondary		false
	ovn_Waystone_beacon	wh2_dlc09_special_bhagar_secondary		false
	ovn_Waystone_beacon	wh2_dlc09_special_numas_secondary		false
	ovn_Waystone_beacon	wh2_dlc09_special_quatar_secondary		false
	ovn_Waystone_beacon	wh2_dlc09_special_zandri_secondary		false
	ovn_Waystone_beacon	wh2_dlc14_special_fyrus_secondary		false
	ovn_Waystone_beacon	wh2_dlc14_special_gnoblar_country_flayed_rock_secondary		false
	ovn_Waystone_beacon	wh2_dlc15_special_mount_arachnos_secondary		false
	ovn_Waystone_beacon	wh2_main_human_minor_secondary_animals		false
	ovn_Waystone_beacon	wh2_main_human_minor_secondary_gems		false
	ovn_Waystone_beacon	wh2_main_human_minor_secondary_medicine		false
	ovn_Waystone_beacon	wh2_main_human_minor_secondary_obsidian		false
	ovn_Waystone_beacon	wh2_main_human_minor_secondary_spices		false
	ovn_Waystone_beacon	wh2_main_special_axlotl_minor_secondary		false
	ovn_Waystone_beacon	wh2_main_special_chamber_of_visions_secondary		false
	ovn_Waystone_beacon	wh2_main_special_def_vauls_anvil_secondary		false
	ovn_Waystone_beacon	wh2_main_special_fallen_gates_secondary		false
	ovn_Waystone_beacon	wh2_main_special_golden_tower_of_the_gods_secondary		false
	ovn_Waystone_beacon	wh2_main_special_gor_gazan_secondary		false
	ovn_Waystone_beacon	wh2_main_special_iron_rock_secondary		false
	ovn_Waystone_beacon	wh2_main_special_mousillon_secondary		false
	ovn_Waystone_beacon	wh2_main_special_quetza_secondary		false
	ovn_Waystone_beacon	wh2_main_special_shrine_of_asuryan_secondary		false
	ovn_Waystone_beacon	wh2_main_special_shrine_of_khaine_secondary		false
	ovn_Waystone_beacon	wh2_main_special_shrine_of_sotek_secondary		false
	ovn_Waystone_beacon	wh2_main_special_skeggi_secondary_minor		false
	ovn_Waystone_beacon	wh2_main_special_ziggurat_of_dawn_secondary		false
	ovn_Waystone_beacon	wh2_main_special_zoishenk_secondary		false
	ovn_Waystone_beacon	wh3_dlc20_special_dagraks_end_secondary		false
	ovn_Waystone_beacon	wh3_main_human_minor_secondary_ivory		false
	ovn_Waystone_beacon	wh3_main_prologue_minor_secondary		false
	ovn_Waystone_beacon	wh3_main_special_blood_mountain_secondary_iron		false
	ovn_Waystone_beacon	wh3_main_special_bloodwind_keep_secondary_obsidian		false
