id	duration	effect_type	requested_stance	cant_move	freeze_fatigue	fatigue_change_ratio	inspiration_aura_range_mod	ability_recharge_change	hp_change_frequency	damage_amount	max_damaged_entities	resurrect	mana_regen_mod	mana_max_depletion_mod	imbue_magical	imbue_ignition	imbue_contact	phase_display	phase_audio	is_hidden_in_ui	affects_allies	affects_enemies	replenish_ammo	composite_scene_group	spreading	freeze_recharge	heal_amount	barrier_heal_amount	remove_magical	execute_ratio
#special_ability_phases_tables;44;db/special_ability_phases_tables/obo_grudgebringers_data																														
wh_main_unit_passive_bear_kin	20.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0			wh_ability_positive	false	false	false	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_unit_abilities_chekist	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0			wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_unit_passive_glorious	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0			wh_ability_positive	false	false	false	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_unit_ability_prayer	30.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_unit_ability_growl	25.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	false	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_unit_abilities_camp	20.0000	positive		true	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_defence_banner	wh_ability_positive_one_shot	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
wh_main_unit_abilities_widow_miscast	-1.0000	negative		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0				false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
grudge_ballistics_calibration1	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
grudge_ballistics_calibration2	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
grudge_ballistics_calibration3	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
grudge_explosion1	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
grudge_apexplosion1	-1.0000	positive		false	false	0.0000	0.0000	0.0000	0.0000	0	-1	false	0.0000	0.0000	false	0		wh_main_generic_buff_attack	wh_ability_positive	false	true	true	0.0000			false	0.0000	0.0000	false	0.0000
