member	context	subculture
#campaign_group_member_criteria_subcultures_tables;1;db/campaign_group_member_criteria_subcultures_tables/ovn_araby_only		
wh3_main_seductive_influence_seducible_factions_subcult_araby	ACTOR	ovn_sc_arb_araby
grn_faction_waaagh_reward_member_araby	ACTOR	ovn_sc_arb_araby
wh2_dlc15_prison_action_interrogate_araby	ACTOR	ovn_sc_arb_araby
wh2_dlc15_hef_eltharion_dungeon_reward_araby	ACTOR	ovn_sc_arb_araby
wh3_dlc20_chs_occuption_option_non_daemon_ovn_araby	ACTOR	wh_main_sc_chs_chaos
wh3_dlc20_chs_occuption_option_non_daemon_ovn_araby	REGION_OWNER	ovn_sc_arb_araby
rhox_araby_occupation_group	ACTOR	ovn_sc_arb_araby
ovn_main_crafting_arb	ACTOR	ovn_sc_arb_araby
ovn_araby_victories_men	ACTOR	ovn_sc_arb_araby
wh_occupation_decision_bretonnia_raze_araby	ACTOR	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_sack_araby	ACTOR	wh_main_sc_brt_bretonnia
wh_occupation_decision_bretonnia_raze_araby	REGION_OWNER	ovn_sc_arb_araby
wh_occupation_decision_bretonnia_sack_araby	REGION_OWNER	ovn_sc_arb_araby
