bullet_point	unit_key
#ui_unit_bullet_point_unit_overrides_tables;0;db/ui_unit_bullet_point_unit_overrides_tables/obo_grudgebringers_data	
anti_infantry	morgan_bernhardt
armoured_and_shielded	morgan_bernhardt
hero_led	morgan_bernhardt
shielded	grudgebringer_infantry
elite_unit	grudgebringer_infantry
shielded	grudgebringer_cavalry
elite_unit	grudgebringer_cavalry
good_range	grudgebringer_crossbow
armour_piercing_ranged	grudgebringer_crossbow
azguz_bloodfist	azguz_bloodfist_dwarf_warriors
armoured_and_shielded	azguz_bloodfist_dwarf_warriors
charge_reflector_vs_large	azguz_bloodfist_dwarf_warriors
dargrimm_firebeard	dargrimm_firebeard_dwarf_warriors
armoured_and_shielded	dargrimm_firebeard_dwarf_warriors
charge_reflector_vs_large	dargrimm_firebeard_dwarf_warriors
ogr_ironfist	urblab_rotgut_mercenary_ogres
urblab_rotgut	urblab_rotgut_mercenary_ogres
ogre_charge	urblab_rotgut_mercenary_ogres
morgan_bernhardt	morgan_bernhardt_mount
morgan_bernhardt	morgan_bernhardt
grudgebringer_sword	morgan_bernhardt_mount
grudgebringer_sword	morgan_bernhardt
enchanted_shield	morgan_bernhardt_mount
enchanted_shield	morgan_bernhardt
gunther_schepke	grudgebringer_infantry
shield_of_ptolos	grudgebringer_infantry
stormsword	grudgebringer_infantry
anti_large	ceridan
armoured	ceridan
damage_dealer	ceridan
decent_melee	ice_mage_vladimir_stormbringer
spellcaster	ice_mage_vladimir_stormbringer
frostbite	ice_mage_vladimir_stormbringer
anti_large	elrod_wood_elf_glade_guards
elrond	elrod_wood_elf_glade_guards
charge_reflector_vs_large	elrod_wood_elf_glade_guards
forest_stalker	elrod_wood_elf_glade_guards
forest_stalker	galed_elf_archers
galed	galed_elf_archers
good_range	galed_elf_archers
armour_piercing	grudgebringer_cannon
anti_large	grudgebringer_cannon
willem_fletcher	grudgebringer_crossbow
siegfried_vannheim	vannheim_75th
armoured_and_shielded	vannheim_75th
armour_piercing	carlsson_cavalry
sven_carlsson	carlsson_cavalry
armoured	carlsson_cavalry
damage_dealer	black_avangers
frenzy	black_avangers
unbreakable	black_avangers
anti_large	dwarf_envoy
armoured	dwarf_envoy
damage_dealer	dwarf_envoy
armoured_and_shielded	grudgebringer_infantry
anti_large	countess_guard
armour_piercing	countess_guard
countess_isabel	countess_guard
heinz_klemper	countess_guard
anti_large	boris_von_raukov_4th_nuln_halberdiers
boris_von_raukov_4th_nuln_halberdiers	boris_von_raukov_4th_nuln_halberdiers
armour_piercing	boris_von_raukov_4th_nuln_halberdiers
charge_reflector	boris_von_raukov_4th_nuln_halberdiers
anti_infantry	jurgen_muntz_outlaw_infantry
vanguard_deployment	jurgen_muntz_outlaw_infantry
decent_melee	jurgen_muntz_outlaw_infantry
jurgen_muntz	jurgen_muntz_outlaw_infantry
anti_infantry	dieter_schaeffer_carroburg_greatswords
armour_piercing	dieter_schaeffer_carroburg_greatswords
dieter_schaeffer_carroburg_greatswords	dieter_schaeffer_carroburg_greatswords
unbreakable	dieter_schaeffer_carroburg_greatswords
decent_melee	stephan_weiss_outlaw_pistoliers
vanguard_deployment	stephan_weiss_outlaw_pistoliers
very_fast	stephan_weiss_outlaw_pistoliers
stephan_weiss	stephan_weiss_outlaw_pistoliers
weak_anti_armour	helmgart_bowmen
johann_keeler	keelers_longbows
weak_anti_armour	keelers_longbows
anti_large	grail_knights_tristan_de_la_tourtristan_de_la_tour
armoured_and_shielded	grail_knights_tristan_de_la_tourtristan_de_la_tour
living_saints	grail_knights_tristan_de_la_tourtristan_de_la_tour
anti_large	knights_of_the_realm_bertrand_le_grande
armoured_and_shielded	knights_of_the_realm_bertrand_le_grande
shielded	carlsson_guard
bernard	carlsson_guard
ramon_black	black_avangers
helmgart_bowmen	helmgart_bowmen
armour_piercing	imperial_cannon_darius_flugenheim
anti_large	imperial_cannon_darius_flugenheim
eusebio_the_bleak	flagellants_eusebio_the_bleak
damage_dealer	flagellants_eusebio_the_bleak
frenzy	flagellants_eusebio_the_bleak
unbreakable	flagellants_eusebio_the_bleak
anti_infantry	black_grail_knights
armoured_and_shielded	black_grail_knights
frenzy	black_grail_knights
anti_infantry	gaston
armoured_and_shielded	gaston
anti_infantry	gaston_mount
armoured_and_shielded	gaston_mount
armoured_and_shielded	dwarf_envoy_dwarf_warriors
