child_key	parent_key	initial_descent_tiers	parent_link_position	child_link_position	parent_link_position_offset	child_link_position_offset	visible_in_ui
#technology_node_links_tables;0;db/technology_node_links_tables/ovn_fimir_only							
elo_fimir_slave_eco_2_new	elo_fimir_slave_eco_1_new	0	2	4	0.0000	0.0000	true
elo_fimir_slave_eco_3_new	elo_fimir_slave_eco_2_new	0	2	4	0.0000	0.0000	true
elo_fimir_slave_eco_4_new	elo_fimir_slave_eco_3_new	0	2	4	0.0000	0.0000	true
elo_fimir_slave_eco_5_new	elo_fimir_slave_eco_4_new	0	2	4	0.0000	0.0000	true
elo_fimir_culture_eco_new	elo_fimir_slave_eco_5_new	0	2	4	0.0000	0.0000	true
elo_fimir_eco_military_new	elo_fimir_slave_eco_5_new	0	2	4	0.0000	0.0000	true
elo_fimir_culture_2_new	elo_fimir_culture_1_new	0	2	4	0.0000	0.0000	true
elo_fimir_culture_3_new	elo_fimir_culture_2_new	0	2	4	0.0000	0.0000	true
elo_fimir_culture_4_new	elo_fimir_culture_3_new	0	2	4	0.0000	0.0000	true
elo_fimir_culture_5_new	elo_fimir_culture_4_new	0	2	4	0.0000	0.0000	true
elo_fimir_culture_eco_new	elo_fimir_culture_5_new	0	2	4	0.0000	0.0000	true
elo_fimir_military_2_new	elo_fimir_military_1_new	0	2	4	0.0000	0.0000	true
elo_fimir_military_3_new	elo_fimir_military_2_new	0	2	4	0.0000	0.0000	true
elo_fimir_military_4_new	elo_fimir_military_3_new	0	2	4	0.0000	0.0000	true
elo_fimir_military_5_new	elo_fimir_military_4_new	0	2	4	0.0000	0.0000	true
elo_fimir_eco_military_new	elo_fimir_military_5_new	0	2	4	0.0000	0.0000	true
elo_fimir_magic_2_new	elo_fimir_magic_1_new	0	2	4	0.0000	0.0000	true
elo_fimir_magic_3_new	elo_fimir_magic_2_new	0	2	4	0.0000	0.0000	true
elo_fimir_magic_4_new	elo_fimir_magic_3_new	0	2	4	0.0000	0.0000	true
elo_fimir_magic_5_new	elo_fimir_magic_4_new	0	2	4	0.0000	0.0000	true
elo_fimir_military_magic_new	elo_fimir_magic_5_new	0	2	4	0.0000	0.0000	true
elo_fimir_magic_loyalist_new	elo_fimir_chaos_loyalist_1_new	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new	elo_fimir_chaos_loyalist_2_new	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new	elo_fimir_chaos_loyalist_3_new	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new	elo_fimir_chaos_loyalist_4_new	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new	elo_fimir_chaos_loyalist_5_new	0	3	1	0.0000	0.0000	true
elo_fimir_swamp_creatures_2_new	elo_fimir_swamp_creatures_1_new	0	2	4	0.0000	0.0000	true
elo_fimir_swamp_creatures_3_new	elo_fimir_swamp_creatures_2_new	0	2	4	0.0000	0.0000	true
elo_fimir_swamp_creatures_4_new	elo_fimir_swamp_creatures_3_new	0	2	4	0.0000	0.0000	true
elo_fimir_swamp_creatures_5_new	elo_fimir_swamp_creatures_4_new	0	2	4	0.0000	0.0000	true
elo_fimir_swamp_creatures_6_new	elo_fimir_swamp_creatures_5_new	0	2	4	0.0000	0.0000	true
elo_fimir_loyalist_creatures_new	elo_fimir_swamp_creatures_6_new	0	2	4	0.0000	0.0000	true
elo_fimir_magic_loyalist_new_kroll	elo_fimir_chaos_loyalist_1_new_kroll	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new_kroll	elo_fimir_chaos_loyalist_2_new_kroll	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new_kroll	elo_fimir_chaos_loyalist_3_new_kroll	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new_kroll	elo_fimir_chaos_loyalist_4_new_kroll	0	3	1	0.0000	0.0000	true
elo_fimir_magic_loyalist_new_kroll	elo_fimir_chaos_loyalist_5_new_kroll	0	3	1	0.0000	0.0000	true
