character_animation_set	mount_unit	rider_animation_set	vfx_filter_override
#campaign_mount_animation_set_overrides_tables;2;db/campaign_mount_animation_set_overrides_tables/ovn_araby_only			
cam_lord_hu1b_elf_sword_and_bow	ovn_arb_cha_fatandira_1	cam_lord_hu1b_elf_hr1_warhorse_sword_bow	0
cam_lord_hu1b_elf_sword_and_bow	ovn_arb_cha_fatandira_2	cam_lord_hu1b_elf_bi1_eagle_wb_sword_and_shield	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_golden_magus_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_golden_magus_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1e_sword_lord	ovn_arb_cha_sheikh_1	cam_hu1e_hr1_warhorse_sword_lord	0
cam_hu1e_sword_lord	ovn_arb_cha_sheikh_2	cam_hu1e_hr1_warhorse_sword_lord	0
cam_hu1e_sword_lord	ovn_arb_cha_sheikh_3	cam_hu1e_sword_lord	0
cam_hu1e_sword_lord	ovn_arb_cha_sheikh_mehmed_1	cam_hu1e_hr1_warhorse_sword_lord	0
cam_hu1e_sword_lord	ovn_arb_cha_sheikh_mehmed_2	cam_hu1e_hr1_warhorse_sword_lord	0
cam_hu1e_sword_lord	ovn_arb_cha_sheikh_mehmed_3	cam_hu1e_sword_lord	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_desert_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_desert_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_desert_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_fire_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_fire_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_fire_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_heavens_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_heavens_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_heavens_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_life_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_life_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_vizier_life_3	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_arabya_hammer	ovn_arb_cha_champion_1	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_arabya_hammer	ovn_arb_cha_champion_2	cam_hu1_empire_hr1_warhorse_lance_sword_shield	0
cam_hu1_arabya_hammer	ovn_arb_cha_champion_3	cam_lord_hu1_settra_2handed_halberd_chariot	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_desert_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_desert_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_fire_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_fire_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_heavens_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_heavens_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_life_1	cam_hu1_empire_hr1_warhorse_staff_and_sword	0
cam_hu1_empire_staff_and_sword	ovn_arb_cha_magician_life_2	cam_hu1_empire_wm_corpsecart01_staff_and_sword	0
