member	action_result
#campaign_group_member_criteria_action_results_tables;0;db/campaign_group_member_criteria_action_results_tables/ovn_araby_only	
wh_dlc10_feed_agent_action_shadow_walker_hinder_character_ovn_araby	wh2_dlc10_agent_action_shadow_walker_hinder_agent_success
event_feed_agent_action_all_failure_critical_hinder_army_ovn_araby	wh_main_agent_action_all_hinder_army_critical_failure
event_feed_agent_action_all_failure_critical_hinder_character_ovn_araby	wh_main_agent_action_all_hinder_character_critical_failure
event_feed_agent_action_all_failure_critical_hinder_province_ovn_araby	wh_main_agent_action_all_hinder_settlement_critical_failure
event_feed_agent_action_all_failure_hinder_army_ovn_araby	wh_main_agent_action_all_hinder_army_failure
event_feed_agent_action_all_failure_hinder_character_ovn_araby	wh_main_agent_action_all_hinder_character_failure
event_feed_agent_action_all_failure_hinder_province_ovn_araby	wh_main_agent_action_all_hinder_settlement_failure
event_feed_agent_action_all_hinder_character_ovn_araby	wh_main_agent_action_all_hinder_agent_success
event_feed_agent_action_all_success_critical_hinder_character_ovn_araby	wh_main_agent_action_all_hinder_agent_critical_success
event_feed_agent_action_champion_hinder_army_ovn_araby	wh2_main_agent_action_hinder_army_success_assault_units
event_feed_agent_action_champion_hinder_settlement_ovn_araby	wh2_main_agent_action_hinder_settlement_success_assault_garrison
event_feed_agent_action_champion_hinder_settlement_plague_priest_ovn_araby	wh2_main_agent_action_wizard_hinder_settlement_success_plague_priest_ritual
event_feed_agent_action_champion_hinder_settlement_warlock_engineer_ovn_araby	wh2_main_agent_action_engineer_hinder_settlement_success_warlock_engineer_ritual
event_feed_agent_action_dignitary_hinder_army_ovn_araby	wh2_main_agent_action_hinder_army_success_hinder_replenishment
event_feed_agent_action_dignitary_hinder_settlement_ovn_araby	wh2_main_agent_action_hinder_settlement_success_damage_building
event_feed_agent_action_engineer_hinder_settlement_ovn_araby	wh2_main_agent_action_hinder_settlement_success_steal_technology
event_feed_agent_action_hinder_settlement_gain_influence_ovn_araby	wh2_main_agent_action_hinder_settlement_success_gain_influence
event_feed_agent_action_spy_hinder_army_ovn_araby	wh2_main_agent_action_hinder_army_success_block_army
event_feed_agent_action_spy_hinder_settlement_ovn_araby	wh2_main_agent_action_hinder_settlement_success_damage_walls
event_feed_agent_action_wizard_hinder_army_ovn_araby	wh2_main_agent_action_hinder_army_success_assault_unit
event_feed_agent_action_champion_hinder_army_araby	wh2_main_agent_action_hinder_army_success_assault_units
event_feed_agent_action_dignitary_hinder_army_araby	wh2_main_agent_action_hinder_army_success_hinder_replenishment
event_feed_agent_action_spy_hinder_army_araby	wh2_main_agent_action_hinder_army_success_block_army
event_feed_agent_action_wizard_hinder_army_araby	wh2_main_agent_action_hinder_army_success_assault_unit
