name	head_node	hips_node	leftarm_node	leftfoot_node	lefthand_node	leftleg_node	leftshoulder_node	leftupleg_node	leftwheel_node	neck_node	rightarm_node	rightfoot_node	righthand_node	rightleg_node	rightshoulder_node	rightupleg_node	rightwheel_node	root	scale	scale_deviation	spine_node	weapon1_node	weapon2_node	weapon3_node	weapon4_node	weapon5_node	leftfinger_node	rightfinger_node	lefttoe_node	righttoe_node	category_man	category_mount	category_engine	weapon6_node	category_animal	category_fauna	cinematic	locomotion	leftwingbase_node	rightwingbase_node	head_tracking_angle	back_node	front_left_upper_leg_node	front_right_upper_leg_node	front_lefttoe_node	front_righttoe_node	rear_left_upper_leg_node	rear_right_upper_leg_node	rear_lefttoe_node	rear_righttoe_node	footstep_nodes	footstep_detection_height	articulation_node	flying_pivot_node	filter_projectiles_node	torso_splice_node	foot_ik_type
#battle_skeletons_tables;17;db/battle_skeletons_tables/ovn_araby_only																																																									
elephant01	head_0	root	arm_left	foot_left	hand_left	leg_left	shoulder_left	upperleg_left		neck	arm_right	foot_right	hand_right	leg_right	shoulder_right	upperleg_right		animRoot	1.0000	0.0000	spine_0						finger_middle_left_0	finger_middle_right_0	toe_middle_left_0	toe_middle_right_0	false	true	false		true	true	false	quadruped			45.0000	spine_2	arm_left	arm_right	hand_left	hand_right	upperleg_left	upperleg_right	toe_middle_left_0	toe_middle_right_0		0.0500					off
flyingcarpet01	root	root	root	root	root	root	root	root		root	root	root	root	root	root	root		animRoot	1.0000	0.0000	root										false	true	false		false	false	false	unclassified			45.0000											0.0200					off
elephantcannon01		root																animRoot	1.0000	0.0000											true	false	true		false	false	false	unclassified			45.0000											0.0200					off
grandbombard01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			45.0000											0.0200					off
djinncarriage01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			45.0000											0.0200					off
camel01	bn_head1	bn_hips	bn_leftarm	bn_leftfoot	bn_lefthand	bn_leftleg	bn_leftshoulder	bn_leftupleg		bn_neck	bn_rightarm	bn_rightfoot	bn_righthand	bn_rightleg	bn_rightshoulder	bn_rightupleg		animroot	1.0000	0.0000	bn_spine						bn_leftfingerbase	bn_rightfingerbase	bn_lefttoebase	bn_righttoebase	false	true	false		false	false	false	quadruped			45.0000		bn_leftarm	bn_rightarm	bn_lefthandindex1	bn_righthandindex1	bn_leftupleg	bn_rightupleg	bn_leftfootindex1	bn_rightfootindex1	bn_leftfootindex1;bn_rightfootindex1;bn_lefthandindex1;bn_righthandindex1	0.0200		bn_spine2			off
flyingcarpet02		root																animRoot	1.0000	0.0000											false	true	false		false	false	false	unclassified			45.0000											0.0500					off
naphthathrower01		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			45.0000											0.0200					off
balloon03		root																animRoot	1.0000	0.0000											false	true	false		false	false	false	unclassified			0.0000											0.0500					off
boltthrower04		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			0.0000											0.0200					off
djinncarriage02		root							wheel_left_								wheel_right_	animRoot	1.0000	0.0000											false	false	true		false	false	false	wheeled			45.0000											0.0200					off
