member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/ovn_fimir	
ovn_fimir	ovn_fimir_slaves
ovn_fimir_skattach	wh3_dlc20_chs_eye_of_the_gods
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_0	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_1	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_2	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_3	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_kho_effects_max	ovn_fim_skattach_slaves_spent_kho
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_0	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_1	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_2	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_3	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_nur_effects_max	ovn_fim_skattach_slaves_spent_nur
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_0	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_1	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_2	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_3	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_sla_effects_max	ovn_fim_skattach_slaves_spent_sla
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_0	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_1	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_2	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_3	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_tze_effects_max	ovn_fim_skattach_slaves_spent_tze
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_0	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_1	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_2	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_3	ovn_fim_skattach_slaves_spent_und
ovn_fim_skattach_pooled_resource_souls_spent_und_effects_max	ovn_fim_skattach_slaves_spent_und
wh3_main_corruption_chaos_1-10_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_11-20_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_21-30_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_31-40_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_41-50_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_51-60_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_61-70_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_71-80_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_81-90_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_chaos_91-100_ovn_fim_fimir	wh3_main_corruption_chaos
wh3_main_corruption_khorne_1-10_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_11-20_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_21-30_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_31-40_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_41-50_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_51-60_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_61-70_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_71-80_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_81-90_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_khorne_91-100_ovn_fim_fimir	wh3_main_corruption_khorne
wh3_main_corruption_nurgle_1-10_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_11-20_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_21-30_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_31-40_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_41-50_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_51-60_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_61-70_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_71-80_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_81-90_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_nurgle_91-100_ovn_fim_fimir	wh3_main_corruption_nurgle
wh3_main_corruption_skaven_1-10_ovn_fim_fimir	wh3_main_corruption_skaven
wh3_main_corruption_skaven_11-20_ovn_fim_fimir	wh3_main_corruption_skaven
wh3_main_corruption_skaven_21-30_ovn_fim_fimir	wh3_main_corruption_skaven
wh3_main_corruption_skaven_31-40_ovn_fim_fimir	wh3_main_corruption_skaven
wh3_main_corruption_skaven_41-50_ovn_fim_fimir	wh3_main_corruption_skaven
wh3_main_corruption_skaven_51-60_ovn_fim_fimir	wh3_main_corruption_skaven
wh3_main_corruption_skaven_61-70_ovn_fim_fimir	wh3_main_corruption_skaven
