area	attacker	battle_type	battle_path	defender	required_tile_upgrades	battle_group
#battle_catchment_override_battle_mappings_tables;2;db/battle_catchment_override_battle_mappings_tables/copher						
Gatekeeper	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_altar_of_ultimate_darkness	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_arnheim	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_caverns_of_the_great_bat	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_fallen_gates	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_gouger_gully	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_isle_of_the_crimson_skull	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_mortuary_of_tzulaqua	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_mosquito_swamps	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_tower_of_hoeth	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_vauls_anvil	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
quest_warp_shard_caverns	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_dlc11_macro_coast_skjold	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_dlc11_macro_galleons_graveyard	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_lzd_tutorial_battle	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_lustria_and_southlands_jungle	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_lustria_and_southlands_mountains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_lustria_and_southlands_plains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_lustria_and_southlands_swamps	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_lustria_coast	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_lustria_desert	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_bleak_forest	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_bleak_plains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_coast	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_def_tutorial_battle	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_desert	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_desert_coast	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_forest	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_grassland	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_hills	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_mountains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_petrified_coast	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_petrified_forest	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_petrified_plains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_naggarond_plains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_norsca_coast	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_norsca_forest	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_norsca_grassland	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_norsca_hills	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_norsca_tundra	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_shrine_of_khaine	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_southlands_coast	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_southlands_desert	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_southlands_grassland	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_ulthuan_coast	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_ulthuan_forest	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_ulthuan_grassland	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_ulthuan_mountains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_macro_ulthuan_plains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_badlands_mountain_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_generic_mountain_pass_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_lzd_lustria_mountain_pass_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_lzd_lustria_mountain_pass_climate_stl_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_lzd_river_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_southland_chasm_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_southland_mountain_pass_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_southland_mountain_pass_climate_lzd_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_southland_river_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_main_sylvania_river_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_naggarond_grassland_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_naggarond_mountain_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_norsca_mountain_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_skv_tutorial_battle	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_ulthuan_forest_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_ulthuan_grassland_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_ulthuan_hef_tutorial_battle	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_ulthuan_mountain_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh2_ulthuan_plains_chokepoint	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh3_dlc20_brt_settlement_1	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh3_dlc23_chd_settlement_1	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh3_dlc23_chd_settlement_2	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
wh3_dlc23_macro_zharr_plains	*	settlement_unfortified	wh3_main_combi_map	*	copher	copher
