area	attacker	battle_type	battle_path	defender	required_tile_upgrades	battle_group
#battle_catchment_override_battle_mappings_tables;2;db/battle_catchment_override_battle_mappings_tables/ovn_araby_settlement_map_and_walls						
wh3_main_tmb_settlement_1	*	settlement_standard	wh3_main_combi_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_tmb_settlement_2	*	settlement_standard	wh3_main_combi_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_vmp_settlement_1	*	settlement_standard	wh3_main_combi_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_dlc20_brt_settlement_1	*	settlement_standard	wh3_main_combi_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_brt_settlement_2	*	settlement_standard	wh3_main_combi_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_lzd_settlement_2	*	settlement_standard	wh3_main_combi_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_tmb_settlement_1	*	settlement_standard	cr_oldworld_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_tmb_settlement_2	*	settlement_standard	cr_oldworld_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_vmp_settlement_1	*	settlement_standard	cr_oldworld_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_dlc20_brt_settlement_1	*	settlement_standard	cr_oldworld_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_brt_settlement_2	*	settlement_standard	cr_oldworld_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_lzd_settlement_2	*	settlement_standard	cr_oldworld_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_tmb_settlement_1	*	settlement_standard	cr_combi_expanded_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_tmb_settlement_2	*	settlement_standard	cr_combi_expanded_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_vmp_settlement_1	*	settlement_standard	cr_combi_expanded_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_dlc20_brt_settlement_1	*	settlement_standard	cr_combi_expanded_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_brt_settlement_2	*	settlement_standard	cr_combi_expanded_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
wh3_main_lzd_settlement_2	*	settlement_standard	cr_combi_expanded_map	*	ovn_arb_settlement_standard_1	ovn_arb_settlement_standard_1
