ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/grb_units	
wh_dlc03_unit_passive_bloodgreed	urblab_rotgut_mercenary_ogres
wh_dlc05_unit_passive_guardians_of_the_wildwood	galed_elf_archers
grudge_hero_abilities_pepperpot	grudgebringer_cannon
grudge_ballistics_calibration1	grudgebringer_cannon
grudge_hero_abilities_shrapnel_shot	grudgebringer_cannon
wh_main_character_abilities_heroic_killing_blow	morgan_bernhardt
wh_main_character_abilities_deadly_onslaught	morgan_bernhardt
wh_main_character_abilities_arcane_conduit	ice_mage_vladimir_stormbringer
wh_main_character_passive_evasion	ice_mage_vladimir_stormbringer
wh_dlc07_unit_formation_lance	grail_knights_tristan_de_la_tourtristan_de_la_tour
wh_dlc07_unit_formation_lance	knights_of_the_realm_bertrand_le_grande
wh_main_lord_passive_the_blessing_of_the_lady	grail_knights_tristan_de_la_tourtristan_de_la_tour
wh_main_unit_passive_frenzy	jurgen_muntz_outlaw_infantry
wh_dlc03_unit_passive_drunken	jurgen_muntz_outlaw_infantry
wh_main_unit_passive_frenzy	ragnar_wolves
wh_dlc08_unit_passive_rage	black_avangers
wh_dlc08_unit_passive_berserk	ragnar_wolves
wh_dlc03_unit_passive_drunken	stephan_weiss_outlaw_pistoliers
wh_main_unit_passive_frenzy	stephan_weiss_outlaw_pistoliers
wh2_dlc11_unit_passive_extra_powder	stephan_weiss_outlaw_pistoliers
wh2_dlc11_unit_passive_extra_powder	grudgebringer_cannon
wh2_dlc11_unit_passive_extra_powder	imperial_cannon_darius_flugenheim
wh3_main_unit_passive_single_entity	ceridan
wh_main_character_abilities_deadly_onslaught	ceridan
wh_main_character_abilities_foe_seeker	ceridan
wh2_main_unit_passive_martial_prowess	ceridan
wh2_dlc11_unit_passive_extra_powder	uter_blomkwist_imperial_mortar
wh_main_unit_passive_frenzy	black_avangers
wh_dlc05_hero_passive_hawkish_precision	galed_elf_archers
wh_dlc05_unit_passive_guardians_of_the_wildwood	elrod_wood_elf_glade_guards
wh_dlc05_unit_passive_guardians_of_the_wildwood	ceridan
wh3_main_character_passive_arsebelcher	urblab_rotgut_mercenary_ogres
wh3_twa06_unit_passive_adaptive_tactics	urblab_rotgut_mercenary_ogres
wh_main_spell_bound_shield_of_faith	flagellants_eusebio_the_bleak
wh_main_unit_passive_frenzy	flagellants_eusebio_the_bleak
wh_dlc08_unit_passive_berserk	flagellants_eusebio_the_bleak
wh_dlc04_unit_passive_strength_of_the_penitent	flagellants_eusebio_the_bleak
wh_dlc06_unit_passive_liquid_fortification	dwarf_envoy
wh2_dlc09_unit_passive_guardian	countess_guard
wh2_dlc09_unit_passive_guardian	carlsson_guard
wh_main_unit_passive_deathblow	gaston
wh_main_unit_passive_deathblow	dieter_schaeffer_carroburg_greatswords
wh2_dlc13_unit_abilities_bathed_in_blood	dieter_schaeffer_carroburg_greatswords
wh3_main_unit_passive_by_our_blood	ragnar_wolves
wh3_main_unit_passive_single_entity	morgan_bernhardt
wh_main_character_abilities_foe_seeker	morgan_bernhardt
wh_main_character_abilities_stand_your_ground	morgan_bernhardt
wh_main_lord_passive_hold_the_line	morgan_bernhardt
wh3_main_unit_passive_single_entity	morgan_bernhardt_mount
wh_main_character_abilities_foe_seeker	morgan_bernhardt_mount
wh_main_character_abilities_stand_your_ground	morgan_bernhardt_mount
wh_main_lord_passive_hold_the_line	morgan_bernhardt_mount
wh_main_mount_passive_bloodroar	morgan_bernhardt_mount
wh_main_unit_passive_deathblow	gaston_mount
wh2_dlc13_unit_abilities_emergency_vent	ludwig_uberdorf_steam_tank_land_units
wh2_dlc13_unit_passive_kaboom	ludwig_uberdorf_steam_tank_land_units
wh3_main_unit_passive_single_entity	ludwig_uberdorf_steam_tank_land_units
wh2_dlc17_hero_abilities_more_powder_generic	ludwig_uberdorf_steam_tank_land_units
wh_main_hero_abilities_ballistics_calibration	ludwig_uberdorf_steam_tank_land_units
wh_main_hero_passive_extra_powder	ludwig_uberdorf_steam_tank_land_units
wh_main_unit_abilities_entrenchment	ludwig_uberdorf_steam_tank_land_units
wh_pro01_lord_abilities_flash_bomb	ludwig_uberdorf_steam_tank_land_units
wh2_dlc17_hero_abilities_more_powder_generic	ludwig_uberdorf
wh3_main_unit_passive_single_entity	ludwig_uberdorf
wh_main_hero_abilities_ballistics_calibration	ludwig_uberdorf
wh_main_hero_passive_extra_powder	ludwig_uberdorf
wh_main_unit_abilities_entrenchment	ludwig_uberdorf
wh_pro01_lord_abilities_flash_bomb	ludwig_uberdorf
wh2_dlc17_hero_abilities_more_powder_generic	ludwig_uberdorf_mount_land_units
wh3_main_unit_passive_single_entity	ludwig_uberdorf_mount_land_units
wh_main_hero_abilities_ballistics_calibration	ludwig_uberdorf_mount_land_units
wh_main_hero_passive_extra_powder	ludwig_uberdorf_mount_land_units
wh_main_unit_abilities_entrenchment	ludwig_uberdorf_mount_land_units
wh_pro01_lord_abilities_flash_bomb	ludwig_uberdorf_mount_land_units
wh_dlc06_unit_abilities_skyhammer_bomb	ludwig_uberdorf_gyrobomber_land_units
wh2_dlc17_hero_abilities_more_powder_generic	ludwig_uberdorf_gyrobomber_land_units
wh3_main_unit_passive_single_entity	ludwig_uberdorf_gyrobomber_land_units
wh_main_hero_abilities_ballistics_calibration	ludwig_uberdorf_gyrobomber_land_units
wh_main_hero_passive_extra_powder	ludwig_uberdorf_gyrobomber_land_units
wh_main_unit_abilities_entrenchment	ludwig_uberdorf_gyrobomber_land_units
wh_pro01_lord_abilities_flash_bomb	ludwig_uberdorf_gyrobomber_land_units
wh_main_unit_passive_frenzy	carlsson_cavalry
wh2_dlc09_unit_passive_guardian	dwarf_envoy_dwarf_warriors
wh3_main_unit_passive_single_entity	ovn_grudge_grn_mon_giant_boss
wh2_dlc13_character_abilities_patch_up	matthias
wh2_dlc13_character_ability_hunters_call	matthias
wh3_main_unit_passive_single_entity	matthias
wh_main_hero_abilities_accusation	matthias
wh_main_hero_abilities_slippery	matthias
