member	pooled_resource
#campaign_group_member_criteria_pooled_resources_tables;0;db/campaign_group_member_criteria_pooled_resources_tables/rhox_araby	
rhox_fatandira_pooled_resource_1	rhox_fatandira_meter
rhox_fatandira_pooled_resource_2	rhox_fatandira_meter
rhox_fatandira_pooled_resource_3	rhox_fatandira_meter
rhox_fatandira_pooled_resource_4	rhox_fatandira_meter
rhox_fatandira_pooled_resource_5	rhox_fatandira_meter
rhox_fatandira_pooled_resource_6	rhox_fatandira_meter
rhox_fatandira_pooled_resource_7	rhox_fatandira_meter
rhox_fatandira_pooled_resource_8	rhox_fatandira_meter
rhox_fatandira_pooled_resource_9	rhox_fatandira_meter
rhox_araby_estate_bundle_nomad_chief	ovn_araby_urban_meter
rhox_araby_estate_bundle_urban_elite	ovn_araby_urban_meter
rhox_araby_estate_bundle_evenly_matched	ovn_araby_urban_meter
