ancillary	effect	effect_scope	value
#ancillary_to_effects_tables;0;db/ancillary_to_effects_tables/ovn_cod_only			
ovn_as_starblade	wh_main_effect_character_stat_ap_damage	character_to_character_own	40.0000
ovn_as_starblade	wh_main_effect_character_stat_enable_magic_attacks	character_to_character_own	1.0000
ovn_as_starblade	wh_main_effect_character_stat_weapon_strength	character_to_character_own	10.0000
ovn_as_armour	wh_main_effect_character_stat_armour	character_to_character_own	14.0000
ovn_as_armour	wh_main_effect_force_stat_vigour_loss_reduction	character_to_character_own	-10.0000
ovn_as_armour	wh_main_effect_character_stat_physical_resistance	character_to_character_own	10.0000
ovn_as_armour	wh_main_effect_character_stat_ward_save	character_to_character_own	10.0000
ovn_as_Hoeth_Talisman	wh_main_effect_character_stat_magic_resistance	character_to_character_own	15.0000
ovn_as_Hoeth_Talisman	wh_main_effect_character_stat_miscast	character_to_character_own	-10.0000
ovn_as_Hoeth_Talisman	wh_main_effect_ability_enable_chain_lightning	character_to_character_own	1.0000
